country;variable;percentile;year;value;age;pop
US-RI;sfiinc992t;p99p99.5;1917;0.038400002;992;t
US-RI;sfiinc992t;p99p99.5;1918;0.041099999;992;t
US-RI;sfiinc992t;p99p99.5;1919;0.039900001;992;t
US-RI;sfiinc992t;p99p99.5;1920;0.037900001;992;t
US-RI;sfiinc992t;p99p99.5;1921;0.041700002;992;t
US-RI;sfiinc992t;p99p99.5;1922;0.042300001;992;t
US-RI;sfiinc992t;p99p99.5;1923;0.038800001;992;t
US-RI;sfiinc992t;p99p99.5;1924;0.0407;992;t
US-RI;sfiinc992t;p99p99.5;1925;0.041700002;992;t
US-RI;sfiinc992t;p99p99.5;1926;0.043200001;992;t
US-RI;sfiinc992t;p99p99.5;1927;0.045699999;992;t
US-RI;sfiinc992t;p99p99.5;1928;0.0484;992;t
US-RI;sfiinc992t;p99p99.5;1929;0.048099998;992;t
US-RI;sfiinc992t;p99p99.5;1930;0.043000001;992;t
US-RI;sfiinc992t;p99p99.5;1931;0.040399998;992;t
US-RI;sfiinc992t;p99p99.5;1932;0.038800001;992;t
US-RI;sfiinc992t;p99p99.5;1933;0.0374;992;t
US-RI;sfiinc992t;p99p99.5;1934;0.040100001;992;t
US-RI;sfiinc992t;p99p99.5;1935;0.039999999;992;t
US-RI;sfiinc992t;p99p99.5;1936;0.045299999;992;t
US-RI;sfiinc992t;p99p99.5;1937;0.042100001;992;t
US-RI;sfiinc992t;p99p99.5;1938;0.036899999;992;t
US-RI;sfiinc992t;p99p99.5;1939;0.039500002;992;t
US-RI;sfiinc992t;p99p99.5;1940;0.039999999;992;t
US-RI;sfiinc992t;p99p99.5;1941;0.035999998;992;t
US-RI;sfiinc992t;p99p99.5;1942;0.0307;992;t
US-RI;sfiinc992t;p99p99.5;1943;0.0276;992;t
US-RI;sfiinc992t;p99p99.5;1944;0.028200001;992;t
US-RI;sfiinc992t;p99p99.5;1945;0.032000002;992;t
US-RI;sfiinc992t;p99p99.5;1946;0.035500001;992;t
US-RI;sfiinc992t;p99p99.5;1947;0.0317;992;t
US-RI;sfiinc992t;p99p99.5;1948;0.035;992;t
US-RI;sfiinc992t;p99p99.5;1949;0.033300001;992;t
US-RI;sfiinc992t;p99p99.5;1950;0.0352;992;t
US-RI;sfiinc992t;p99p99.5;1951;0.0339;992;t
US-RI;sfiinc992t;p99p99.5;1952;0.0305;992;t
US-RI;sfiinc992t;p99p99.5;1953;0.0287;992;t
US-RI;sfiinc992t;p99p99.5;1954;0.029300001;992;t
US-RI;sfiinc992t;p99p99.5;1955;0.032400001;992;t
US-RI;sfiinc992t;p99p99.5;1956;0.028200001;992;t
US-RI;sfiinc992t;p99p99.5;1957;0.0295;992;t
US-RI;sfiinc992t;p99p99.5;1958;0.028000001;992;t
US-RI;sfiinc992t;p99p99.5;1959;0.0253;992;t
US-RI;sfiinc992t;p99p99.5;1960;0.025900001;992;t
US-RI;sfiinc992t;p99p99.5;1961;0.0372;992;t
US-RI;sfiinc992t;p99p99.5;1962;0.0272;992;t
US-RI;sfiinc992t;p99p99.5;1963;0.0285;992;t
US-RI;sfiinc992t;p99p99.5;1964;0.024900001;992;t
US-RI;sfiinc992t;p99p99.5;1965;0.031099999;992;t
US-RI;sfiinc992t;p99p99.5;1966;0.0288;992;t
US-RI;sfiinc992t;p99p99.5;1967;0.031300001;992;t
US-RI;sfiinc992t;p99p99.5;1968;0.0298;992;t
US-RI;sfiinc992t;p99p99.5;1969;0.0263;992;t
US-RI;sfiinc992t;p99p99.5;1970;0.025900001;992;t
US-RI;sfiinc992t;p99p99.5;1971;0.0276;992;t
US-RI;sfiinc992t;p99p99.5;1972;0.0254;992;t
US-RI;sfiinc992t;p99p99.5;1973;0.028000001;992;t
US-RI;sfiinc992t;p99p99.5;1974;0.0277;992;t
US-RI;sfiinc992t;p99p99.5;1975;0.029999999;992;t
US-RI;sfiinc992t;p99p99.5;1976;0.0307;992;t
US-RI;sfiinc992t;p99p99.5;1977;0.028999999;992;t
US-RI;sfiinc992t;p99p99.5;1978;0.0306;992;t
US-RI;sfiinc992t;p99p99.5;1979;0.031399999;992;t
US-RI;sfiinc992t;p99p99.5;1980;0.0288;992;t
US-RI;sfiinc992t;p99p99.5;1981;0.0277;992;t
US-RI;sfiinc992t;p99p99.5;1982;0.028999999;992;t
US-RI;sfiinc992t;p99p99.5;1983;0.0277;992;t
US-RI;sfiinc992t;p99p99.5;1984;0.0283;992;t
US-RI;sfiinc992t;p99p99.5;1985;0.0286;992;t
US-RI;sfiinc992t;p99p99.5;1986;0.0328;992;t
US-RI;sfiinc992t;p99p99.5;1987;0.0317;992;t
US-RI;sfiinc992t;p99p99.5;1988;0.033300001;992;t
US-RI;sfiinc992t;p99p99.5;1989;0.0319;992;t
US-RI;sfiinc992t;p99p99.5;1990;0.032600001;992;t
US-RI;sfiinc992t;p99p99.5;1991;0.033100002;992;t
US-RI;sfiinc992t;p99p99.5;1992;0.033799998;992;t
US-RI;sfiinc992t;p99p99.5;1993;0.033199999;992;t
US-RI;sfiinc992t;p99p99.5;1994;0.033799998;992;t
US-RI;sfiinc992t;p99p99.5;1995;0.034600001;992;t
US-RI;sfiinc992t;p99p99.5;1996;0.035300002;992;t
US-RI;sfiinc992t;p99p99.5;1997;0.037;992;t
US-RI;sfiinc992t;p99p99.5;1998;0.036800001;992;t
US-RI;sfiinc992t;p99p99.5;1999;0.0372;992;t
US-RI;sfiinc992t;p99p99.5;2000;0.036499999;992;t
US-RI;sfiinc992t;p99p99.5;2001;0.0374;992;t
US-RI;sfiinc992t;p99p99.5;2002;0.036400001;992;t
US-RI;sfiinc992t;p99p99.5;2003;0.0363;992;t
US-RI;sfiinc992t;p99p99.5;2004;0.037599999;992;t
US-RI;sfiinc992t;p99p99.5;2005;0.037900001;992;t
US-RI;sfiinc992t;p99p99.5;2006;0.038199998;992;t
US-RI;sfiinc992t;p99p99.5;2007;0.038400002;992;t
US-RI;sfiinc992t;p99p99.5;2008;0.036499999;992;t
US-RI;sfiinc992t;p99p99.5;2009;0.035799999;992;t
US-RI;sfiinc992t;p99p99.5;2010;0.035;992;t
US-RI;sfiinc992t;p99p99.5;2011;0.035999998;992;t
US-RI;sfiinc992t;p99p99.5;2012;0.0361;992;t
US-RI;sfiinc992t;p99p99.5;2013;0.036699999;992;t
US-RI;sfiinc992t;p99p99.5;2014;0.037;992;t
US-RI;sfiinc992t;p99p99.5;2015;0.036499999;992;t
US-RI;sfiinc992t;p99p100;1917;0.236;992;t
US-RI;sfiinc992t;p99p100;1918;0.2163;992;t
US-RI;sfiinc992t;p99p100;1919;0.18889999;992;t
US-RI;sfiinc992t;p99p100;1920;0.17219999;992;t
US-RI;sfiinc992t;p99p100;1921;0.18449999;992;t
US-RI;sfiinc992t;p99p100;1922;0.1894;992;t
US-RI;sfiinc992t;p99p100;1923;0.1648;992;t
US-RI;sfiinc992t;p99p100;1924;0.18340001;992;t
US-RI;sfiinc992t;p99p100;1925;0.1982;992;t
US-RI;sfiinc992t;p99p100;1926;0.1918;992;t
US-RI;sfiinc992t;p99p100;1927;0.2062;992;t
US-RI;sfiinc992t;p99p100;1928;0.2323;992;t
US-RI;sfiinc992t;p99p100;1929;0.2357;992;t
US-RI;sfiinc992t;p99p100;1930;0.1833;992;t
US-RI;sfiinc992t;p99p100;1931;0.1653;992;t
US-RI;sfiinc992t;p99p100;1932;0.1662;992;t
US-RI;sfiinc992t;p99p100;1933;0.15880001;992;t
US-RI;sfiinc992t;p99p100;1934;0.16940001;992;t
US-RI;sfiinc992t;p99p100;1935;0.17129999;992;t
US-RI;sfiinc992t;p99p100;1936;0.19949999;992;t
US-RI;sfiinc992t;p99p100;1937;0.182;992;t
US-RI;sfiinc992t;p99p100;1938;0.145;992;t
US-RI;sfiinc992t;p99p100;1939;0.1621;992;t
US-RI;sfiinc992t;p99p100;1940;0.1661;992;t
US-RI;sfiinc992t;p99p100;1941;0.1496;992;t
US-RI;sfiinc992t;p99p100;1942;0.1225;992;t
US-RI;sfiinc992t;p99p100;1943;0.1106;992;t
US-RI;sfiinc992t;p99p100;1944;0.107;992;t
US-RI;sfiinc992t;p99p100;1945;0.1237;992;t
US-RI;sfiinc992t;p99p100;1946;0.1364;992;t
US-RI;sfiinc992t;p99p100;1947;0.1249;992;t
US-RI;sfiinc992t;p99p100;1948;0.1348;992;t
US-RI;sfiinc992t;p99p100;1949;0.12620001;992;t
US-RI;sfiinc992t;p99p100;1950;0.138;992;t
US-RI;sfiinc992t;p99p100;1951;0.1358;992;t
US-RI;sfiinc992t;p99p100;1952;0.1107;992;t
US-RI;sfiinc992t;p99p100;1953;0.1013;992;t
US-RI;sfiinc992t;p99p100;1954;0.1084;992;t
US-RI;sfiinc992t;p99p100;1955;0.13689999;992;t
US-RI;sfiinc992t;p99p100;1956;0.1041;992;t
US-RI;sfiinc992t;p99p100;1957;0.1048;992;t
US-RI;sfiinc992t;p99p100;1958;0.1066;992;t
US-RI;sfiinc992t;p99p100;1959;0.0964;992;t
US-RI;sfiinc992t;p99p100;1960;0.094800003;992;t
US-RI;sfiinc992t;p99p100;1961;0.102;992;t
US-RI;sfiinc992t;p99p100;1962;0.096199997;992;t
US-RI;sfiinc992t;p99p100;1963;0.096500002;992;t
US-RI;sfiinc992t;p99p100;1964;0.0995;992;t
