country;variable;percentile;year;value;age;pop
US-SC;sptinc992t;p99p99.5;1917;0.030200001;992;t
US-SC;sptinc992t;p99p99.5;1918;0.033300001;992;t
US-SC;sptinc992t;p99p99.5;1919;0.037599999;992;t
US-SC;sptinc992t;p99p99.5;1920;0.037099998;992;t
US-SC;sptinc992t;p99p99.5;1921;0.041900001;992;t
US-SC;sptinc992t;p99p99.5;1922;0.040800001;992;t
US-SC;sptinc992t;p99p99.5;1923;0.0414;992;t
US-SC;sptinc992t;p99p99.5;1924;0.039500002;992;t
US-SC;sptinc992t;p99p99.5;1925;0.039700001;992;t
US-SC;sptinc992t;p99p99.5;1926;0.039099999;992;t
US-SC;sptinc992t;p99p99.5;1927;0.037500001;992;t
US-SC;sptinc992t;p99p99.5;1928;0.0363;992;t
US-SC;sptinc992t;p99p99.5;1929;0.0317;992;t
US-SC;sptinc992t;p99p99.5;1930;0.036499999;992;t
US-SC;sptinc992t;p99p99.5;1931;0.037300002;992;t
US-SC;sptinc992t;p99p99.5;1932;0.044;992;t
US-SC;sptinc992t;p99p99.5;1933;0.040399998;992;t
US-SC;sptinc992t;p99p99.5;1934;0.0381;992;t
US-SC;sptinc992t;p99p99.5;1935;0.037599999;992;t
US-SC;sptinc992t;p99p99.5;1936;0.039299998;992;t
US-SC;sptinc992t;p99p99.5;1937;0.0385;992;t
US-SC;sptinc992t;p99p99.5;1938;0.0403;992;t
US-SC;sptinc992t;p99p99.5;1939;0.0396;992;t
US-SC;sptinc992t;p99p99.5;1940;0.035999998;992;t
US-SC;sptinc992t;p99p99.5;1941;0.032299999;992;t
US-SC;sptinc992t;p99p99.5;1942;0.0244;992;t
US-SC;sptinc992t;p99p99.5;1943;0.0243;992;t
US-SC;sptinc992t;p99p99.5;1944;0.0219;992;t
US-SC;sptinc992t;p99p99.5;1945;0.027100001;992;t
US-SC;sptinc992t;p99p99.5;1946;0.032900002;992;t
US-SC;sptinc992t;p99p99.5;1947;0.0305;992;t
US-SC;sptinc992t;p99p99.5;1948;0.0287;992;t
US-SC;sptinc992t;p99p99.5;1949;0.027799999;992;t
US-SC;sptinc992t;p99p99.5;1950;0.0308;992;t
US-SC;sptinc992t;p99p99.5;1951;0.0286;992;t
US-SC;sptinc992t;p99p99.5;1952;0.0255;992;t
US-SC;sptinc992t;p99p99.5;1953;0.0254;992;t
US-SC;sptinc992t;p99p99.5;1954;0.0262;992;t
US-SC;sptinc992t;p99p99.5;1955;0.025699999;992;t
US-SC;sptinc992t;p99p99.5;1956;0.026699999;992;t
US-SC;sptinc992t;p99p99.5;1957;0.0263;992;t
US-SC;sptinc992t;p99p99.5;1958;0.0253;992;t
US-SC;sptinc992t;p99p99.5;1959;0.027000001;992;t
US-SC;sptinc992t;p99p99.5;1960;0.0252;992;t
US-SC;sptinc992t;p99p99.5;1961;0.025699999;992;t
US-SC;sptinc992t;p99p99.5;1962;0.0253;992;t
US-SC;sptinc992t;p99p99.5;1963;0.0255;992;t
US-SC;sptinc992t;p99p99.5;1964;0.030300001;992;t
US-SC;sptinc992t;p99p99.5;1965;0.025800001;992;t
US-SC;sptinc992t;p99p99.5;1966;0.027000001;992;t
US-SC;sptinc992t;p99p99.5;1967;0.0261;992;t
US-SC;sptinc992t;p99p99.5;1968;0.0277;992;t
US-SC;sptinc992t;p99p99.5;1969;0.0265;992;t
US-SC;sptinc992t;p99p99.5;1970;0.023399999;992;t
US-SC;sptinc992t;p99p99.5;1971;0.023399999;992;t
US-SC;sptinc992t;p99p99.5;1972;0.026000001;992;t
US-SC;sptinc992t;p99p99.5;1973;0.0263;992;t
US-SC;sptinc992t;p99p99.5;1974;0.0242;992;t
US-SC;sptinc992t;p99p99.5;1975;0.0252;992;t
US-SC;sptinc992t;p99p99.5;1976;0.024700001;992;t
US-SC;sptinc992t;p99p99.5;1977;0.0254;992;t
US-SC;sptinc992t;p99p99.5;1978;0.024499999;992;t
US-SC;sptinc992t;p99p99.5;1979;0.0262;992;t
US-SC;sptinc992t;p99p99.5;1980;0.0262;992;t
US-SC;sptinc992t;p99p99.5;1981;0.0251;992;t
US-SC;sptinc992t;p99p99.5;1982;0.024599999;992;t
US-SC;sptinc992t;p99p99.5;1983;0.025;992;t
US-SC;sptinc992t;p99p99.5;1984;0.0265;992;t
US-SC;sptinc992t;p99p99.5;1985;0.0274;992;t
US-SC;sptinc992t;p99p99.5;1986;0.030099999;992;t
US-SC;sptinc992t;p99p99.5;1987;0.0283;992;t
US-SC;sptinc992t;p99p99.5;1988;0.027799999;992;t
US-SC;sptinc992t;p99p99.5;1989;0.0297;992;t
US-SC;sptinc992t;p99p99.5;1990;0.028899999;992;t
US-SC;sptinc992t;p99p99.5;1991;0.0297;992;t
US-SC;sptinc992t;p99p99.5;1992;0.0306;992;t
US-SC;sptinc992t;p99p99.5;1993;0.031099999;992;t
US-SC;sptinc992t;p99p99.5;1994;0.032299999;992;t
US-SC;sptinc992t;p99p99.5;1995;0.0341;992;t
US-SC;sptinc992t;p99p99.5;1996;0.035;992;t
US-SC;sptinc992t;p99p99.5;1997;0.0361;992;t
US-SC;sptinc992t;p99p99.5;1998;0.037500001;992;t
US-SC;sptinc992t;p99p99.5;1999;0.037799999;992;t
US-SC;sptinc992t;p99p99.5;2000;0.036699999;992;t
US-SC;sptinc992t;p99p99.5;2001;0.036699999;992;t
US-SC;sptinc992t;p99p99.5;2002;0.035;992;t
US-SC;sptinc992t;p99p99.5;2003;0.035799999;992;t
US-SC;sptinc992t;p99p99.5;2004;0.036699999;992;t
US-SC;sptinc992t;p99p99.5;2005;0.038800001;992;t
US-SC;sptinc992t;p99p99.5;2006;0.040399998;992;t
US-SC;sptinc992t;p99p99.5;2007;0.038899999;992;t
US-SC;sptinc992t;p99p99.5;2008;0.0361;992;t
US-SC;sptinc992t;p99p99.5;2009;0.036499999;992;t
US-SC;sptinc992t;p99p99.5;2010;0.039799999;992;t
US-SC;sptinc992t;p99p99.5;2011;0.039700001;992;t
US-SC;sptinc992t;p99p99.5;2012;0.039700001;992;t
US-SC;sptinc992t;p99p99.5;2013;0.039900001;992;t
US-SC;sptinc992t;p99p99.5;2014;0.0405;992;t
US-SC;sptinc992t;p99p99.5;2015;0.043000001;992;t
US-SC;sptinc992t;p99p100;1917;0.1078;992;t
US-SC;sptinc992t;p99p100;1918;0.1068;992;t
US-SC;sptinc992t;p99p100;1919;0.1287;992;t
US-SC;sptinc992t;p99p100;1920;0.13070001;992;t
US-SC;sptinc992t;p99p100;1921;0.1336;992;t
US-SC;sptinc992t;p99p100;1922;0.1332;992;t
US-SC;sptinc992t;p99p100;1923;0.1489;992;t
US-SC;sptinc992t;p99p100;1924;0.12909999;992;t
US-SC;sptinc992t;p99p100;1925;0.1224;992;t
US-SC;sptinc992t;p99p100;1926;0.1214;992;t
US-SC;sptinc992t;p99p100;1927;0.1284;992;t
