country;variable;percentile;year;value;age;pop
US-SD;sptinc992t;p99p99.5;1917;0.029100001;992;t
US-SD;sptinc992t;p99p99.5;1918;0.033;992;t
US-SD;sptinc992t;p99p99.5;1919;0.030200001;992;t
US-SD;sptinc992t;p99p99.5;1920;0.038600001;992;t
US-SD;sptinc992t;p99p99.5;1921;0.036899999;992;t
US-SD;sptinc992t;p99p99.5;1922;0.035399999;992;t
US-SD;sptinc992t;p99p99.5;1923;0.028999999;992;t
US-SD;sptinc992t;p99p99.5;1924;0.032099999;992;t
US-SD;sptinc992t;p99p99.5;1925;0.033399999;992;t
US-SD;sptinc992t;p99p99.5;1926;0.0305;992;t
US-SD;sptinc992t;p99p99.5;1927;0.031599998;992;t
US-SD;sptinc992t;p99p99.5;1928;0.033399999;992;t
US-SD;sptinc992t;p99p99.5;1929;0.033100002;992;t
US-SD;sptinc992t;p99p99.5;1930;0.034899998;992;t
US-SD;sptinc992t;p99p99.5;1931;0.045600001;992;t
US-SD;sptinc992t;p99p99.5;1932;0.046799999;992;t
US-SD;sptinc992t;p99p99.5;1933;0.0614;992;t
US-SD;sptinc992t;p99p99.5;1934;0.049800001;992;t
US-SD;sptinc992t;p99p99.5;1935;0.033;992;t
US-SD;sptinc992t;p99p99.5;1936;0.046500001;992;t
US-SD;sptinc992t;p99p99.5;1937;0.034499999;992;t
US-SD;sptinc992t;p99p99.5;1938;0.035100002;992;t
US-SD;sptinc992t;p99p99.5;1939;0.034899998;992;t
US-SD;sptinc992t;p99p99.5;1940;0.034000002;992;t
US-SD;sptinc992t;p99p99.5;1941;0.032600001;992;t
US-SD;sptinc992t;p99p99.5;1942;0.0255;992;t
US-SD;sptinc992t;p99p99.5;1943;0.0272;992;t
US-SD;sptinc992t;p99p99.5;1944;0.0241;992;t
US-SD;sptinc992t;p99p99.5;1945;0.0251;992;t
US-SD;sptinc992t;p99p99.5;1946;0.0295;992;t
US-SD;sptinc992t;p99p99.5;1947;0.032299999;992;t
US-SD;sptinc992t;p99p99.5;1948;0.0286;992;t
US-SD;sptinc992t;p99p99.5;1949;0.0298;992;t
US-SD;sptinc992t;p99p99.5;1950;0.0296;992;t
US-SD;sptinc992t;p99p99.5;1951;0.0255;992;t
