country;variable;percentile;year;value;age;pop
US-TN;sptinc992t;p99p99.5;1917;0.034899998;992;t
US-TN;sptinc992t;p99p99.5;1918;0.039999999;992;t
US-TN;sptinc992t;p99p99.5;1919;0.044599999;992;t
US-TN;sptinc992t;p99p99.5;1920;0.043400001;992;t
US-TN;sptinc992t;p99p99.5;1921;0.043200001;992;t
US-TN;sptinc992t;p99p99.5;1922;0.043000001;992;t
US-TN;sptinc992t;p99p99.5;1923;0.039099999;992;t
US-TN;sptinc992t;p99p99.5;1924;0.041700002;992;t
US-TN;sptinc992t;p99p99.5;1925;0.041099999;992;t
US-TN;sptinc992t;p99p99.5;1926;0.0427;992;t
US-TN;sptinc992t;p99p99.5;1927;0.0429;992;t
US-TN;sptinc992t;p99p99.5;1928;0.0425;992;t
US-TN;sptinc992t;p99p99.5;1929;0.041099999;992;t
US-TN;sptinc992t;p99p99.5;1930;0.0429;992;t
US-TN;sptinc992t;p99p99.5;1931;0.044599999;992;t
US-TN;sptinc992t;p99p99.5;1932;0.050799999;992;t
US-TN;sptinc992t;p99p99.5;1933;0.046700001;992;t
US-TN;sptinc992t;p99p99.5;1934;0.044399999;992;t
US-TN;sptinc992t;p99p99.5;1935;0.045299999;992;t
US-TN;sptinc992t;p99p99.5;1936;0.046500001;992;t
US-TN;sptinc992t;p99p99.5;1937;0.043499999;992;t
US-TN;sptinc992t;p99p99.5;1938;0.0473;992;t
US-TN;sptinc992t;p99p99.5;1939;0.049199998;992;t
US-TN;sptinc992t;p99p99.5;1940;0.046700001;992;t
US-TN;sptinc992t;p99p99.5;1941;0.043000001;992;t
US-TN;sptinc992t;p99p99.5;1942;0.035999998;992;t
US-TN;sptinc992t;p99p99.5;1943;0.030999999;992;t
US-TN;sptinc992t;p99p99.5;1944;0.0276;992;t
US-TN;sptinc992t;p99p99.5;1945;0.030200001;992;t
US-TN;sptinc992t;p99p99.5;1946;0.037900001;992;t
US-TN;sptinc992t;p99p99.5;1947;0.0359;992;t
US-TN;sptinc992t;p99p99.5;1948;0.031300001;992;t
US-TN;sptinc992t;p99p99.5;1949;0.0337;992;t
US-TN;sptinc992t;p99p99.5;1950;0.037500001;992;t
US-TN;sptinc992t;p99p99.5;1951;0.033799998;992;t
US-TN;sptinc992t;p99p99.5;1952;0.032000002;992;t
US-TN;sptinc992t;p99p99.5;1953;0.028999999;992;t
US-TN;sptinc992t;p99p99.5;1954;0.030300001;992;t
US-TN;sptinc992t;p99p99.5;1955;0.031399999;992;t
US-TN;sptinc992t;p99p99.5;1956;0.032099999;992;t
US-TN;sptinc992t;p99p99.5;1957;0.031099999;992;t
US-TN;sptinc992t;p99p99.5;1958;0.032000002;992;t
US-TN;sptinc992t;p99p99.5;1959;0.0305;992;t
US-TN;sptinc992t;p99p99.5;1960;0.032600001;992;t
US-TN;sptinc992t;p99p99.5;1961;0.030999999;992;t
US-TN;sptinc992t;p99p99.5;1962;0.033199999;992;t
US-TN;sptinc992t;p99p99.5;1963;0.032200001;992;t
US-TN;sptinc992t;p99p99.5;1964;0.032200001;992;t
US-TN;sptinc992t;p99p99.5;1965;0.0339;992;t
US-TN;sptinc992t;p99p99.5;1966;0.033799998;992;t
US-TN;sptinc992t;p99p99.5;1967;0.0352;992;t
US-TN;sptinc992t;p99p99.5;1968;0.032099999;992;t
US-TN;sptinc992t;p99p99.5;1969;0.031399999;992;t
US-TN;sptinc992t;p99p99.5;1970;0.029899999;992;t
US-TN;sptinc992t;p99p99.5;1971;0.032600001;992;t
US-TN;sptinc992t;p99p99.5;1972;0.032000002;992;t
US-TN;sptinc992t;p99p99.5;1973;0.0306;992;t
US-TN;sptinc992t;p99p99.5;1974;0.028999999;992;t
US-TN;sptinc992t;p99p99.5;1975;0.030099999;992;t
US-TN;sptinc992t;p99p99.5;1976;0.0285;992;t
US-TN;sptinc992t;p99p99.5;1977;0.0294;992;t
US-TN;sptinc992t;p99p99.5;1978;0.031099999;992;t
US-TN;sptinc992t;p99p99.5;1979;0.029200001;992;t
US-TN;sptinc992t;p99p99.5;1980;0.029999999;992;t
US-TN;sptinc992t;p99p99.5;1981;0.0295;992;t
US-TN;sptinc992t;p99p99.5;1982;0.0296;992;t
US-TN;sptinc992t;p99p99.5;1983;0.029300001;992;t
US-TN;sptinc992t;p99p99.5;1984;0.030300001;992;t
US-TN;sptinc992t;p99p99.5;1985;0.031199999;992;t
US-TN;sptinc992t;p99p99.5;1986;0.033599999;992;t
US-TN;sptinc992t;p99p99.5;1987;0.031800002;992;t
US-TN;sptinc992t;p99p99.5;1988;0.0339;992;t
US-TN;sptinc992t;p99p99.5;1989;0.033799998;992;t
US-TN;sptinc992t;p99p99.5;1990;0.032900002;992;t
US-TN;sptinc992t;p99p99.5;1991;0.033399999;992;t
US-TN;sptinc992t;p99p99.5;1992;0.034499999;992;t
US-TN;sptinc992t;p99p99.5;1993;0.034499999;992;t
US-TN;sptinc992t;p99p99.5;1994;0.0352;992;t
US-TN;sptinc992t;p99p99.5;1995;0.036699999;992;t
US-TN;sptinc992t;p99p99.5;1996;0.037700001;992;t
US-TN;sptinc992t;p99p99.5;1997;0.038899999;992;t
US-TN;sptinc992t;p99p99.5;1998;0.037500001;992;t
US-TN;sptinc992t;p99p99.5;1999;0.037500001;992;t
US-TN;sptinc992t;p99p99.5;2000;0.036600001;992;t
US-TN;sptinc992t;p99p99.5;2001;0.037599999;992;t
US-TN;sptinc992t;p99p99.5;2002;0.035700001;992;t
US-TN;sptinc992t;p99p99.5;2003;0.036400001;992;t
US-TN;sptinc992t;p99p99.5;2004;0.037500001;992;t
US-TN;sptinc992t;p99p99.5;2005;0.038199998;992;t
US-TN;sptinc992t;p99p99.5;2006;0.039999999;992;t
US-TN;sptinc992t;p99p99.5;2007;0.039500002;992;t
US-TN;sptinc992t;p99p99.5;2008;0.0372;992;t
US-TN;sptinc992t;p99p99.5;2009;0.0363;992;t
US-TN;sptinc992t;p99p99.5;2010;0.037300002;992;t
US-TN;sptinc992t;p99p99.5;2011;0.038699999;992;t
