country;variable;percentile;year;value;age;pop
US-UT;sptinc992t;p99p99.5;1917;0.031199999;992;t
US-UT;sptinc992t;p99p99.5;1918;0.031599998;992;t
US-UT;sptinc992t;p99p99.5;1919;0.030300001;992;t
US-UT;sptinc992t;p99p99.5;1920;0.0298;992;t
US-UT;sptinc992t;p99p99.5;1921;0.033300001;992;t
US-UT;sptinc992t;p99p99.5;1922;0.031800002;992;t
US-UT;sptinc992t;p99p99.5;1923;0.029899999;992;t
US-UT;sptinc992t;p99p99.5;1924;0.034400001;992;t
US-UT;sptinc992t;p99p99.5;1925;0.035599999;992;t
US-UT;sptinc992t;p99p99.5;1926;0.035799999;992;t
US-UT;sptinc992t;p99p99.5;1927;0.0363;992;t
US-UT;sptinc992t;p99p99.5;1928;0.038199998;992;t
US-UT;sptinc992t;p99p99.5;1929;0.037999999;992;t
US-UT;sptinc992t;p99p99.5;1930;0.0363;992;t
US-UT;sptinc992t;p99p99.5;1931;0.038899999;992;t
US-UT;sptinc992t;p99p99.5;1932;0.036499999;992;t
US-UT;sptinc992t;p99p99.5;1933;0.0363;992;t
US-UT;sptinc992t;p99p99.5;1934;0.040800001;992;t
US-UT;sptinc992t;p99p99.5;1935;0.0359;992;t
US-UT;sptinc992t;p99p99.5;1936;0.036699999;992;t
US-UT;sptinc992t;p99p99.5;1937;0.040100001;992;t
US-UT;sptinc992t;p99p99.5;1938;0.0359;992;t
US-UT;sptinc992t;p99p99.5;1939;0.037099998;992;t
US-UT;sptinc992t;p99p99.5;1940;0.037599999;992;t
US-UT;sptinc992t;p99p99.5;1941;0.035599999;992;t
US-UT;sptinc992t;p99p99.5;1942;0.026900001;992;t
US-UT;sptinc992t;p99p99.5;1943;0.022500001;992;t
US-UT;sptinc992t;p99p99.5;1944;0.0233;992;t
US-UT;sptinc992t;p99p99.5;1945;0.0255;992;t
US-UT;sptinc992t;p99p99.5;1946;0.031500001;992;t
US-UT;sptinc992t;p99p99.5;1947;0.0294;992;t
US-UT;sptinc992t;p99p99.5;1948;0.0297;992;t
US-UT;sptinc992t;p99p99.5;1949;0.0276;992;t
US-UT;sptinc992t;p99p99.5;1950;0.027000001;992;t
US-UT;sptinc992t;p99p99.5;1951;0.0298;992;t
US-UT;sptinc992t;p99p99.5;1952;0.025;992;t
US-UT;sptinc992t;p99p99.5;1953;0.0242;992;t
US-UT;sptinc992t;p99p99.5;1954;0.027899999;992;t
US-UT;sptinc992t;p99p99.5;1955;0.026799999;992;t
US-UT;sptinc992t;p99p99.5;1956;0.025800001;992;t
US-UT;sptinc992t;p99p99.5;1957;0.0273;992;t
US-UT;sptinc992t;p99p99.5;1958;0.0232;992;t
US-UT;sptinc992t;p99p99.5;1959;0.0264;992;t
US-UT;sptinc992t;p99p99.5;1960;0.024900001;992;t
US-UT;sptinc992t;p99p99.5;1961;0.024;992;t
US-UT;sptinc992t;p99p99.5;1962;0.022399999;992;t
US-UT;sptinc992t;p99p99.5;1963;0.024599999;992;t
US-UT;sptinc992t;p99p99.5;1964;0.027899999;992;t
US-UT;sptinc992t;p99p99.5;1965;0.0296;992;t
US-UT;sptinc992t;p99p99.5;1966;0.023600001;992;t
US-UT;sptinc992t;p99p99.5;1967;0.0255;992;t
US-UT;sptinc992t;p99p99.5;1968;0.024;992;t
US-UT;sptinc992t;p99p99.5;1969;0.0241;992;t
US-UT;sptinc992t;p99p99.5;1970;0.022299999;992;t
US-UT;sptinc992t;p99p99.5;1971;0.0252;992;t
US-UT;sptinc992t;p99p99.5;1972;0.023399999;992;t
US-UT;sptinc992t;p99p99.5;1973;0.024900001;992;t
US-UT;sptinc992t;p99p99.5;1974;0.0243;992;t
US-UT;sptinc992t;p99p99.5;1975;0.0244;992;t
US-UT;sptinc992t;p99p99.5;1976;0.023800001;992;t
US-UT;sptinc992t;p99p99.5;1977;0.0263;992;t
US-UT;sptinc992t;p99p99.5;1978;0.024800001;992;t
US-UT;sptinc992t;p99p99.5;1979;0.0242;992;t
US-UT;sptinc992t;p99p99.5;1980;0.0242;992;t
US-UT;sptinc992t;p99p99.5;1981;0.022500001;992;t
US-UT;sptinc992t;p99p99.5;1982;0.023;992;t
US-UT;sptinc992t;p99p99.5;1983;0.0239;992;t
US-UT;sptinc992t;p99p99.5;1984;0.0244;992;t
US-UT;sptinc992t;p99p99.5;1985;0.0253;992;t
US-UT;sptinc992t;p99p99.5;1986;0.026900001;992;t
US-UT;sptinc992t;p99p99.5;1987;0.025900001;992;t
US-UT;sptinc992t;p99p99.5;1988;0.0272;992;t
US-UT;sptinc992t;p99p99.5;1989;0.0277;992;t
US-UT;sptinc992t;p99p99.5;1990;0.027799999;992;t
US-UT;sptinc992t;p99p99.5;1991;0.0285;992;t
US-UT;sptinc992t;p99p99.5;1992;0.030400001;992;t
US-UT;sptinc992t;p99p99.5;1993;0.0307;992;t
US-UT;sptinc992t;p99p99.5;1994;0.032099999;992;t
US-UT;sptinc992t;p99p99.5;1995;0.033500001;992;t
US-UT;sptinc992t;p99p99.5;1996;0.034400001;992;t
US-UT;sptinc992t;p99p99.5;1997;0.034000002;992;t
US-UT;sptinc992t;p99p99.5;1998;0.034299999;992;t
US-UT;sptinc992t;p99p99.5;1999;0.034600001;992;t
US-UT;sptinc992t;p99p99.5;2000;0.0348;992;t
US-UT;sptinc992t;p99p99.5;2001;0.033500001;992;t
US-UT;sptinc992t;p99p99.5;2002;0.032699998;992;t
US-UT;sptinc992t;p99p99.5;2003;0.033599999;992;t
US-UT;sptinc992t;p99p99.5;2004;0.0348;992;t
US-UT;sptinc992t;p99p99.5;2005;0.036800001;992;t
US-UT;sptinc992t;p99p99.5;2006;0.0381;992;t
US-UT;sptinc992t;p99p99.5;2007;0.037700001;992;t
US-UT;sptinc992t;p99p99.5;2008;0.034699999;992;t
US-UT;sptinc992t;p99p99.5;2009;0.034899998;992;t
US-UT;sptinc992t;p99p99.5;2010;0.035100002;992;t
US-UT;sptinc992t;p99p99.5;2011;0.036200002;992;t
US-UT;sptinc992t;p99p99.5;2012;0.037099998;992;t
US-UT;sptinc992t;p99p99.5;2013;0.034600001;992;t
US-UT;sptinc992t;p99p99.5;2014;0.0361;992;t
US-UT;sptinc992t;p99p99.5;2015;0.037300002;992;t
US-UT;sptinc992t;p99p100;1917;0.1296;992;t
US-UT;sptinc992t;p99p100;1918;0.1035;992;t
US-UT;sptinc992t;p99p100;1919;0.096000001;992;t
US-UT;sptinc992t;p99p100;1920;0.098399997;992;t
US-UT;sptinc992t;p99p100;1921;0.1067;992;t
US-UT;sptinc992t;p99p100;1922;0.1111;992;t
US-UT;sptinc992t;p99p100;1923;0.1029;992;t
US-UT;sptinc992t;p99p100;1924;0.1144;992;t
US-UT;sptinc992t;p99p100;1925;0.12710001;992;t
US-UT;sptinc992t;p99p100;1926;0.1265;992;t
US-UT;sptinc992t;p99p100;1927;0.1381;992;t
US-UT;sptinc992t;p99p100;1928;0.1473;992;t
US-UT;sptinc992t;p99p100;1929;0.142;992;t
US-UT;sptinc992t;p99p100;1930;0.1229;992;t
US-UT;sptinc992t;p99p100;1931;0.1249;992;t
US-UT;sptinc992t;p99p100;1932;0.118;992;t
US-UT;sptinc992t;p99p100;1933;0.1196;992;t
US-UT;sptinc992t;p99p100;1934;0.13519999;992;t
US-UT;sptinc992t;p99p100;1935;0.1237;992;t
US-UT;sptinc992t;p99p100;1936;0.1381;992;t
US-UT;sptinc992t;p99p100;1937;0.1441;992;t
US-UT;sptinc992t;p99p100;1938;0.1261;992;t
US-UT;sptinc992t;p99p100;1939;0.1278;992;t
US-UT;sptinc992t;p99p100;1940;0.12809999;992;t
US-UT;sptinc992t;p99p100;1941;0.12989999;992;t
US-UT;sptinc992t;p99p100;1942;0.098800004;992;t
US-UT;sptinc992t;p99p100;1943;0.081799999;992;t
US-UT;sptinc992t;p99p100;1944;0.081600003;992;t
US-UT;sptinc992t;p99p100;1945;0.088200003;992;t
US-UT;sptinc992t;p99p100;1946;0.1015;992;t
US-UT;sptinc992t;p99p100;1947;0.094700001;992;t
US-UT;sptinc992t;p99p100;1948;0.091200002;992;t
US-UT;sptinc992t;p99p100;1949;0.087300003;992;t
US-UT;sptinc992t;p99p100;1950;0.092500001;992;t
US-UT;sptinc992t;p99p100;1951;0.096600004;992;t
US-UT;sptinc992t;p99p100;1952;0.086199999;992;t
US-UT;sptinc992t;p99p100;1953;0.075800002;992;t
