country;variable;percentile;year;value;age;pop
US-VA;sptinc992t;p99p99.5;1917;0.031300001;992;t
US-VA;sptinc992t;p99p99.5;1918;0.035799999;992;t
US-VA;sptinc992t;p99p99.5;1919;0.037099998;992;t
US-VA;sptinc992t;p99p99.5;1920;0.036499999;992;t
US-VA;sptinc992t;p99p99.5;1921;0.038899999;992;t
US-VA;sptinc992t;p99p99.5;1922;0.037999999;992;t
US-VA;sptinc992t;p99p99.5;1923;0.033500001;992;t
US-VA;sptinc992t;p99p99.5;1924;0.035300002;992;t
US-VA;sptinc992t;p99p99.5;1925;0.034699999;992;t
US-VA;sptinc992t;p99p99.5;1926;0.0359;992;t
US-VA;sptinc992t;p99p99.5;1927;0.036200002;992;t
US-VA;sptinc992t;p99p99.5;1928;0.035599999;992;t
US-VA;sptinc992t;p99p99.5;1929;0.034699999;992;t
US-VA;sptinc992t;p99p99.5;1930;0.037;992;t
US-VA;sptinc992t;p99p99.5;1931;0.0361;992;t
US-VA;sptinc992t;p99p99.5;1932;0.0381;992;t
US-VA;sptinc992t;p99p99.5;1933;0.035500001;992;t
US-VA;sptinc992t;p99p99.5;1934;0.036200002;992;t
US-VA;sptinc992t;p99p99.5;1935;0.0372;992;t
US-VA;sptinc992t;p99p99.5;1936;0.038899999;992;t
US-VA;sptinc992t;p99p99.5;1937;0.036499999;992;t
US-VA;sptinc992t;p99p99.5;1938;0.037900001;992;t
US-VA;sptinc992t;p99p99.5;1939;0.038199998;992;t
US-VA;sptinc992t;p99p99.5;1940;0.037300002;992;t
US-VA;sptinc992t;p99p99.5;1941;0.032400001;992;t
US-VA;sptinc992t;p99p99.5;1942;0.023;992;t
US-VA;sptinc992t;p99p99.5;1943;0.023499999;992;t
US-VA;sptinc992t;p99p99.5;1944;0.0218;992;t
US-VA;sptinc992t;p99p99.5;1945;0.023800001;992;t
US-VA;sptinc992t;p99p99.5;1946;0.0275;992;t
US-VA;sptinc992t;p99p99.5;1947;0.0277;992;t
US-VA;sptinc992t;p99p99.5;1948;0.026900001;992;t
US-VA;sptinc992t;p99p99.5;1949;0.0273;992;t
US-VA;sptinc992t;p99p99.5;1950;0.028000001;992;t
US-VA;sptinc992t;p99p99.5;1951;0.029200001;992;t
US-VA;sptinc992t;p99p99.5;1952;0.0244;992;t
US-VA;sptinc992t;p99p99.5;1953;0.0229;992;t
US-VA;sptinc992t;p99p99.5;1954;0.025;992;t
US-VA;sptinc992t;p99p99.5;1955;0.024599999;992;t
US-VA;sptinc992t;p99p99.5;1956;0.025;992;t
US-VA;sptinc992t;p99p99.5;1957;0.023800001;992;t
US-VA;sptinc992t;p99p99.5;1958;0.023800001;992;t
US-VA;sptinc992t;p99p99.5;1959;0.024;992;t
US-VA;sptinc992t;p99p99.5;1960;0.0251;992;t
US-VA;sptinc992t;p99p99.5;1961;0.024700001;992;t
US-VA;sptinc992t;p99p99.5;1962;0.024900001;992;t
US-VA;sptinc992t;p99p99.5;1963;0.024700001;992;t
US-VA;sptinc992t;p99p99.5;1964;0.0263;992;t
US-VA;sptinc992t;p99p99.5;1965;0.025699999;992;t
US-VA;sptinc992t;p99p99.5;1966;0.0241;992;t
US-VA;sptinc992t;p99p99.5;1967;0.0243;992;t
US-VA;sptinc992t;p99p99.5;1968;0.0262;992;t
US-VA;sptinc992t;p99p99.5;1969;0.024499999;992;t
US-VA;sptinc992t;p99p99.5;1970;0.0239;992;t
US-VA;sptinc992t;p99p99.5;1971;0.024700001;992;t
US-VA;sptinc992t;p99p99.5;1972;0.024800001;992;t
US-VA;sptinc992t;p99p99.5;1973;0.024499999;992;t
US-VA;sptinc992t;p99p99.5;1974;0.026900001;992;t
US-VA;sptinc992t;p99p99.5;1975;0.0244;992;t
US-VA;sptinc992t;p99p99.5;1976;0.023399999;992;t
US-VA;sptinc992t;p99p99.5;1977;0.023600001;992;t
US-VA;sptinc992t;p99p99.5;1978;0.023;992;t
US-VA;sptinc992t;p99p99.5;1979;0.023600001;992;t
US-VA;sptinc992t;p99p99.5;1980;0.0239;992;t
US-VA;sptinc992t;p99p99.5;1981;0.022700001;992;t
US-VA;sptinc992t;p99p99.5;1982;0.023800001;992;t
US-VA;sptinc992t;p99p99.5;1983;0.023800001;992;t
US-VA;sptinc992t;p99p99.5;1984;0.0251;992;t
US-VA;sptinc992t;p99p99.5;1985;0.0263;992;t
US-VA;sptinc992t;p99p99.5;1986;0.0284;992;t
US-VA;sptinc992t;p99p99.5;1987;0.027100001;992;t
US-VA;sptinc992t;p99p99.5;1988;0.028999999;992;t
US-VA;sptinc992t;p99p99.5;1989;0.029300001;992;t
US-VA;sptinc992t;p99p99.5;1990;0.028000001;992;t
US-VA;sptinc992t;p99p99.5;1991;0.027899999;992;t
US-VA;sptinc992t;p99p99.5;1992;0.028999999;992;t
US-VA;sptinc992t;p99p99.5;1993;0.029200001;992;t
US-VA;sptinc992t;p99p99.5;1994;0.0296;992;t
US-VA;sptinc992t;p99p99.5;1995;0.031500001;992;t
US-VA;sptinc992t;p99p99.5;1996;0.032699998;992;t
US-VA;sptinc992t;p99p99.5;1997;0.032900002;992;t
US-VA;sptinc992t;p99p99.5;1998;0.0339;992;t
US-VA;sptinc992t;p99p99.5;1999;0.033500001;992;t
US-VA;sptinc992t;p99p99.5;2000;0.034400001;992;t
US-VA;sptinc992t;p99p99.5;2001;0.032900002;992;t
US-VA;sptinc992t;p99p99.5;2002;0.034699999;992;t
US-VA;sptinc992t;p99p99.5;2003;0.034899998;992;t
US-VA;sptinc992t;p99p99.5;2004;0.036499999;992;t
US-VA;sptinc992t;p99p99.5;2005;0.0374;992;t
US-VA;sptinc992t;p99p99.5;2006;0.037999999;992;t
US-VA;sptinc992t;p99p99.5;2007;0.036600001;992;t
US-VA;sptinc992t;p99p99.5;2008;0.0359;992;t
US-VA;sptinc992t;p99p99.5;2009;0.035300002;992;t
US-VA;sptinc992t;p99p99.5;2010;0.034400001;992;t
US-VA;sptinc992t;p99p99.5;2011;0.035399999;992;t
US-VA;sptinc992t;p99p99.5;2012;0.0359;992;t
US-VA;sptinc992t;p99p99.5;2013;0.037300002;992;t
US-VA;sptinc992t;p99p99.5;2014;0.036400001;992;t
US-VA;sptinc992t;p99p99.5;2015;0.036600001;992;t
US-VA;sptinc992t;p99p100;1917;0.1314;992;t
US-VA;sptinc992t;p99p100;1918;0.13410001;992;t
US-VA;sptinc992t;p99p100;1919;0.13789999;992;t
US-VA;sptinc992t;p99p100;1920;0.1327;992;t
US-VA;sptinc992t;p99p100;1921;0.1323;992;t
US-VA;sptinc992t;p99p100;1922;0.1374;992;t
US-VA;sptinc992t;p99p100;1923;0.1229;992;t
US-VA;sptinc992t;p99p100;1924;0.1328;992;t
US-VA;sptinc992t;p99p100;1925;0.1365;992;t
US-VA;sptinc992t;p99p100;1926;0.1445;992;t
US-VA;sptinc992t;p99p100;1927;0.1468;992;t
US-VA;sptinc992t;p99p100;1928;0.1503;992;t
US-VA;sptinc992t;p99p100;1929;0.139;992;t
US-VA;sptinc992t;p99p100;1930;0.1349;992;t
US-VA;sptinc992t;p99p100;1931;0.1238;992;t
US-VA;sptinc992t;p99p100;1932;0.12980001;992;t
US-VA;sptinc992t;p99p100;1933;0.127;992;t
US-VA;sptinc992t;p99p100;1934;0.1337;992;t
US-VA;sptinc992t;p99p100;1935;0.1383;992;t
US-VA;sptinc992t;p99p100;1936;0.16249999;992;t
US-VA;sptinc992t;p99p100;1937;0.1487;992;t
US-VA;sptinc992t;p99p100;1938;0.14120001;992;t
US-VA;sptinc992t;p99p100;1939;0.145;992;t
US-VA;sptinc992t;p99p100;1940;0.1481;992;t
US-VA;sptinc992t;p99p100;1941;0.1284;992;t
US-VA;sptinc992t;p99p100;1942;0.089100003;992;t
US-VA;sptinc992t;p99p100;1943;0.0902;992;t
US-VA;sptinc992t;p99p100;1944;0.079400003;992;t
US-VA;sptinc992t;p99p100;1945;0.086300001;992;t
US-VA;sptinc992t;p99p100;1946;0.099699996;992;t
US-VA;sptinc992t;p99p100;1947;0.1001;992;t
US-VA;sptinc992t;p99p100;1948;0.098499998;992;t
US-VA;sptinc992t;p99p100;1949;0.095200002;992;t
US-VA;sptinc992t;p99p100;1950;0.1014;992;t
US-VA;sptinc992t;p99p100;1951;0.1064;992;t
US-VA;sptinc992t;p99p100;1952;0.0832;992;t
US-VA;sptinc992t;p99p100;1953;0.075900003;992;t
US-VA;sptinc992t;p99p100;1954;0.084200002;992;t
US-VA;sptinc992t;p99p100;1955;0.084700003;992;t
US-VA;sptinc992t;p99p100;1956;0.086900003;992;t
US-VA;sptinc992t;p99p100;1957;0.079099998;992;t
US-VA;sptinc992t;p99p100;1958;0.078400001;992;t
US-VA;sptinc992t;p99p100;1959;0.0801;992;t
US-VA;sptinc992t;p99p100;1960;0.081600003;992;t
US-VA;sptinc992t;p99p100;1961;0.082400002;992;t
US-VA;sptinc992t;p99p100;1962;0.081100002;992;t
US-VA;sptinc992t;p99p100;1963;0.083700001;992;t
US-VA;sptinc992t;p99p100;1964;0.084700003;992;t
US-VA;sptinc992t;p99p100;1965;0.087899998;992;t
US-VA;sptinc992t;p99p100;1966;0.084399998;992;t
US-VA;sptinc992t;p99p100;1967;0.084100001;992;t
US-VA;sptinc992t;p99p100;1968;0.0854;992;t
US-VA;sptinc992t;p99p100;1969;0.078599997;992;t
US-VA;sptinc992t;p99p100;1970;0.072800003;992;t
US-VA;sptinc992t;p99p100;1971;0.076099999;992;t
US-VA;sptinc992t;p99p100;1972;0.077699997;992;t
US-VA;sptinc992t;p99p100;1973;0.0757;992;t
US-VA;sptinc992t;p99p100;1974;0.087700002;992;t
US-VA;sptinc992t;p99p100;1975;0.0744;992;t
US-VA;sptinc992t;p99p100;1976;0.071900003;992;t
US-VA;sptinc992t;p99p100;1977;0.072099999;992;t
US-VA;sptinc992t;p99p100;1978;0.071099997;992;t
US-VA;sptinc992t;p99p100;1979;0.0766;992;t
US-VA;sptinc992t;p99p100;1980;0.078000002;992;t
US-VA;sptinc992t;p99p100;1981;0.077399999;992;t
US-VA;sptinc992t;p99p100;1982;0.090599999;992;t
US-VA;sptinc992t;p99p100;1983;0.081799999;992;t
US-VA;sptinc992t;p99p100;1984;0.094400004;992;t
US-VA;sptinc992t;p99p100;1985;0.1028;992;t
US-VA;sptinc992t;p99p100;1986;0.1274;992;t
US-VA;sptinc992t;p99p100;1987;0.1008;992;t
US-VA;sptinc992t;p99p100;1988;0.1241;992;t
US-VA;sptinc992t;p99p100;1989;0.1179;992;t
US-VA;sptinc992t;p99p100;1990;0.1063;992;t
US-VA;sptinc992t;p99p100;1991;0.0995;992;t
US-VA;sptinc992t;p99p100;1992;0.1092;992;t
US-VA;sptinc992t;p99p100;1993;0.1062;992;t
US-VA;sptinc992t;p99p100;1994;0.1074;992;t
US-VA;sptinc992t;p99p100;1995;0.1163;992;t
US-VA;sptinc992t;p99p100;1996;0.1328;992;t
US-VA;sptinc992t;p99p100;1997;0.13500001;992;t
US-VA;sptinc992t;p99p100;1998;0.1543;992;t
US-VA;sptinc992t;p99p100;1999;0.16339999;992;t
US-VA;sptinc992t;p99p100;2000;0.1626;992;t
US-VA;sptinc992t;p99p100;2001;0.13850001;992;t
US-VA;sptinc992t;p99p100;2002;0.13510001;992;t
