country;variable;percentile;year;value;age;pop
US-VT;sptinc992t;p99p99.5;1917;0.031399999;992;t
US-VT;sptinc992t;p99p99.5;1918;0.033;992;t
US-VT;sptinc992t;p99p99.5;1919;0.0374;992;t
US-VT;sptinc992t;p99p99.5;1920;0.033100002;992;t
US-VT;sptinc992t;p99p99.5;1921;0.035500001;992;t
US-VT;sptinc992t;p99p99.5;1922;0.035500001;992;t
US-VT;sptinc992t;p99p99.5;1923;0.0352;992;t
US-VT;sptinc992t;p99p99.5;1924;0.035999998;992;t
US-VT;sptinc992t;p99p99.5;1925;0.037799999;992;t
US-VT;sptinc992t;p99p99.5;1926;0.037599999;992;t
US-VT;sptinc992t;p99p99.5;1927;0.037700001;992;t
US-VT;sptinc992t;p99p99.5;1928;0.039500002;992;t
US-VT;sptinc992t;p99p99.5;1929;0.039799999;992;t
US-VT;sptinc992t;p99p99.5;1930;0.037500001;992;t
US-VT;sptinc992t;p99p99.5;1931;0.037700001;992;t
US-VT;sptinc992t;p99p99.5;1932;0.0372;992;t
US-VT;sptinc992t;p99p99.5;1933;0.036499999;992;t
US-VT;sptinc992t;p99p99.5;1934;0.036899999;992;t
US-VT;sptinc992t;p99p99.5;1935;0.036899999;992;t
US-VT;sptinc992t;p99p99.5;1936;0.038600001;992;t
US-VT;sptinc992t;p99p99.5;1937;0.037900001;992;t
US-VT;sptinc992t;p99p99.5;1938;0.036400001;992;t
US-VT;sptinc992t;p99p99.5;1939;0.036499999;992;t
US-VT;sptinc992t;p99p99.5;1940;0.036899999;992;t
US-VT;sptinc992t;p99p99.5;1941;0.032600001;992;t
US-VT;sptinc992t;p99p99.5;1942;0.0285;992;t
US-VT;sptinc992t;p99p99.5;1943;0.027100001;992;t
US-VT;sptinc992t;p99p99.5;1944;0.027899999;992;t
US-VT;sptinc992t;p99p99.5;1945;0.030099999;992;t
US-VT;sptinc992t;p99p99.5;1946;0.031500001;992;t
US-VT;sptinc992t;p99p99.5;1947;0.028899999;992;t
US-VT;sptinc992t;p99p99.5;1948;0.0309;992;t
US-VT;sptinc992t;p99p99.5;1949;0.0262;992;t
US-VT;sptinc992t;p99p99.5;1950;0.029899999;992;t
US-VT;sptinc992t;p99p99.5;1951;0.0272;992;t
US-VT;sptinc992t;p99p99.5;1952;0.0288;992;t
US-VT;sptinc992t;p99p99.5;1953;0.025;992;t
US-VT;sptinc992t;p99p99.5;1954;0.0272;992;t
US-VT;sptinc992t;p99p99.5;1955;0.027100001;992;t
US-VT;sptinc992t;p99p99.5;1956;0.029899999;992;t
US-VT;sptinc992t;p99p99.5;1957;0.028100001;992;t
US-VT;sptinc992t;p99p99.5;1958;0.028000001;992;t
US-VT;sptinc992t;p99p99.5;1959;0.0254;992;t
US-VT;sptinc992t;p99p99.5;1960;0.025900001;992;t
US-VT;sptinc992t;p99p99.5;1961;0.0252;992;t
US-VT;sptinc992t;p99p99.5;1962;0.025599999;992;t
US-VT;sptinc992t;p99p99.5;1963;0.0272;992;t
US-VT;sptinc992t;p99p99.5;1964;0.0363;992;t
US-VT;sptinc992t;p99p99.5;1965;0.0337;992;t
US-VT;sptinc992t;p99p99.5;1966;0.023700001;992;t
US-VT;sptinc992t;p99p99.5;1967;0.0266;992;t
US-VT;sptinc992t;p99p99.5;1968;0.027799999;992;t
US-VT;sptinc992t;p99p99.5;1969;0.026799999;992;t
US-VT;sptinc992t;p99p99.5;1970;0.025900001;992;t
US-VT;sptinc992t;p99p99.5;1971;0.0255;992;t
US-VT;sptinc992t;p99p99.5;1972;0.023600001;992;t
US-VT;sptinc992t;p99p99.5;1973;0.0261;992;t
US-VT;sptinc992t;p99p99.5;1974;0.025800001;992;t
US-VT;sptinc992t;p99p99.5;1975;0.0275;992;t
US-VT;sptinc992t;p99p99.5;1976;0.025699999;992;t
US-VT;sptinc992t;p99p99.5;1977;0.027899999;992;t
US-VT;sptinc992t;p99p99.5;1978;0.024900001;992;t
US-VT;sptinc992t;p99p99.5;1979;0.026799999;992;t
US-VT;sptinc992t;p99p99.5;1980;0.0254;992;t
US-VT;sptinc992t;p99p99.5;1981;0.0241;992;t
US-VT;sptinc992t;p99p99.5;1982;0.023499999;992;t
US-VT;sptinc992t;p99p99.5;1983;0.0254;992;t
US-VT;sptinc992t;p99p99.5;1984;0.0262;992;t
US-VT;sptinc992t;p99p99.5;1985;0.027100001;992;t
US-VT;sptinc992t;p99p99.5;1986;0.030400001;992;t
US-VT;sptinc992t;p99p99.5;1987;0.029200001;992;t
US-VT;sptinc992t;p99p99.5;1988;0.0317;992;t
US-VT;sptinc992t;p99p99.5;1989;0.0298;992;t
US-VT;sptinc992t;p99p99.5;1990;0.0272;992;t
US-VT;sptinc992t;p99p99.5;1991;0.028100001;992;t
US-VT;sptinc992t;p99p99.5;1992;0.0283;992;t
US-VT;sptinc992t;p99p99.5;1993;0.028899999;992;t
US-VT;sptinc992t;p99p99.5;1994;0.0297;992;t
US-VT;sptinc992t;p99p99.5;1995;0.031599998;992;t
US-VT;sptinc992t;p99p99.5;1996;0.033199999;992;t
US-VT;sptinc992t;p99p99.5;1997;0.036699999;992;t
US-VT;sptinc992t;p99p99.5;1998;0.036400001;992;t
US-VT;sptinc992t;p99p99.5;1999;0.037300002;992;t
US-VT;sptinc992t;p99p99.5;2000;0.0372;992;t
