country;variable;percentile;year;value;age;pop
UY;aptinc992i;p99p99.5;2009;4227515.5;992;i
UY;aptinc992i;p99p99.5;2010;4416426.0;992;i
UY;aptinc992i;p99p99.5;2011;4559446.5;992;i
UY;aptinc992i;p99p99.5;2012;4473030.5;992;i
UY;aptinc992i;p99p100;2009;7146514.0;992;i
UY;aptinc992i;p99p100;2010;7676169.0;992;i
UY;aptinc992i;p99p100;2011;8006833.0;992;i
UY;aptinc992i;p99p100;2012;7636881.0;992;i
UY;aptinc992i;p99.9p99.99;2009;16217175.0;992;i
UY;aptinc992i;p99.9p99.99;2010;18694462.0;992;i
UY;aptinc992i;p99.9p99.99;2011;18534926.0;992;i
UY;aptinc992i;p99.9p99.99;2012;18789750.0;992;i
UY;aptinc992i;p99.9p99.95;2009;12079480.0;992;i
UY;aptinc992i;p99.9p99.95;2010;13670868.0;992;i
UY;aptinc992i;p99.9p99.95;2011;14457816.0;992;i
UY;aptinc992i;p99.9p99.95;2012;14183794.0;992;i
UY;aptinc992i;p99.9p100;2009;23150956.0;992;i
UY;aptinc992i;p99.9p100;2010;25762792.0;992;i
UY;aptinc992i;p99.9p100;2011;27245798.0;992;i
UY;aptinc992i;p99.9p100;2012;25092908.0;992;i
UY;aptinc992i;p99.99p100;2009;85542584.0;992;i
UY;aptinc992i;p99.99p100;2010;89365136.0;992;i
UY;aptinc992i;p99.99p100;2011;105628088.0;992;i
UY;aptinc992i;p99.99p100;2012;81810072.0;992;i
UY;aptinc992i;p99.95p99.99;2009;21388832.0;992;i
UY;aptinc992i;p99.95p99.99;2010;24973392.0;992;i
UY;aptinc992i;p99.95p99.99;2011;23630856.0;992;i
UY;aptinc992i;p99.95p99.99;2012;24546678.0;992;i
UY;aptinc992i;p99.95p100;2009;34221112.0;992;i
UY;aptinc992i;p99.95p100;2010;37853276.0;992;i
UY;aptinc992i;p99.95p100;2011;40032256.0;992;i
UY;aptinc992i;p99.95p100;2012;36000724.0;992;i
UY;aptinc992i;p99.5p99.9;2009;6794201.0;992;i
UY;aptinc992i;p99.5p99.9;2010;7229247.5;992;i
UY;aptinc992i;p99.5p99.9;2011;7506383.5;992;i
UY;aptinc992i;p99.5p99.9;2012;7227741.0;992;i
UY;aptinc992i;p99.5p100;2009;10065513.0;992;i
UY;aptinc992i;p99.5p100;2010;10935912.0;992;i
UY;aptinc992i;p99.5p100;2011;11454220.0;992;i
UY;aptinc992i;p99.5p100;2012;10800732.0;992;i
UY;aptinc992i;p95p99;2009;2639570.3;992;i
UY;aptinc992i;p95p99;2010;2748611.8;992;i
UY;aptinc992i;p95p99;2011;2764259.8;992;i
UY;aptinc992i;p95p99;2012;2417465.8;992;i
UY;aptinc992i;p95p100;2009;3540958.0;992;i
UY;aptinc992i;p95p100;2010;3734122.0;992;i
UY;aptinc992i;p95p100;2011;3812773.0;992;i
UY;aptinc992i;p95p100;2012;3461347.5;992;i
UY;aptinc992i;p90p95;2009;1475399.3;992;i
UY;aptinc992i;p90p95;2010;1523521.8;992;i
UY;aptinc992i;p90p95;2011;1562177.9;992;i
UY;aptinc992i;p90p95;2012;1467786.6;992;i
UY;aptinc992i;p90p100;2009;2508178.5;992;i
UY;aptinc992i;p90p100;2010;2628822.0;992;i
UY;aptinc992i;p90p100;2011;2687475.5;992;i
UY;aptinc992i;p90p100;2012;2464567.0;992;i
UY;aptinc992i;p0p100;2009;503275.19;992;i
UY;aptinc992i;p0p100;2010;525764.5;992;i
UY;aptinc992i;p0p100;2011;556029.63;992;i
