country;variable;percentile;year;value;age;pop
UZ;anninc999i;p0p100;1973;7397185.5;999;i
UZ;anninc999i;p0p100;1987;5142747.5;999;i
UZ;anninc999i;p0p100;1988;5514448.5;999;i
UZ;anninc999i;p0p100;1989;5560082.5;999;i
UZ;anninc999i;p0p100;1990;5529524.5;999;i
UZ;anninc999i;p0p100;1991;5388863.5;999;i
UZ;anninc999i;p0p100;1992;4647022.0;999;i
UZ;anninc999i;p0p100;1993;4453307.0;999;i
UZ;anninc999i;p0p100;1994;4128785.8;999;i
UZ;anninc999i;p0p100;1995;4015129.3;999;i
UZ;anninc999i;p0p100;1996;4012088.8;999;i
UZ;anninc999i;p0p100;1997;4155887.3;999;i
UZ;anninc999i;p0p100;1998;4268056.0;999;i
UZ;anninc999i;p0p100;1999;4384685.5;999;i
UZ;anninc999i;p0p100;2000;4488299.0;999;i
UZ;anninc999i;p0p100;2001;4621591.0;999;i
UZ;anninc999i;p0p100;2002;4745779.5;999;i
UZ;anninc999i;p0p100;2003;4872890.0;999;i
UZ;anninc999i;p0p100;2004;5167735.0;999;i
UZ;anninc999i;p0p100;2005;5444474.5;999;i
UZ;anninc999i;p0p100;2006;5754858.0;999;i
UZ;anninc999i;p0p100;2007;6201903.5;999;i
UZ;anninc999i;p0p100;2008;6647250.5;999;i
UZ;anninc999i;p0p100;2009;7051554.5;999;i
UZ;anninc999i;p0p100;2010;7512218.0;999;i
UZ;anninc999i;p0p100;2011;7987563.0;999;i
UZ;anninc999i;p0p100;2012;8485219.0;999;i
UZ;anninc999i;p0p100;2013;9002064.0;999;i
UZ;anninc999i;p0p100;2014;9552794.0;999;i
UZ;anninc999i;p0p100;2015;10129471.0;999;i
UZ;anninc999i;p0p100;2016;10563072.0;999;i
UZ;anninc999i;p0p100;2017;11000903.0;999;i
UZ;anninc999i;p0p100;2018;11442777.0;999;i
UZ;anninc992i;p0p100;1973;16577521.0;992;i
UZ;anninc992i;p0p100;1987;10527714.0;992;i
UZ;anninc992i;p0p100;1988;11309008.0;992;i
UZ;anninc992i;p0p100;1989;11417258.0;992;i
UZ;anninc992i;p0p100;1990;11354512.0;992;i
UZ;anninc992i;p0p100;1991;11070697.0;992;i
UZ;anninc992i;p0p100;1992;9534052.0;992;i
UZ;anninc992i;p0p100;1993;9112426.0;992;i
UZ;anninc992i;p0p100;1994;8417361.0;992;i
UZ;anninc992i;p0p100;1995;8146422.5;992;i
UZ;anninc992i;p0p100;1996;8092825.0;992;i
UZ;anninc992i;p0p100;1997;8320219.5;992;i
UZ;anninc992i;p0p100;1998;8467829.0;992;i
UZ;anninc992i;p0p100;1999;8609163.0;992;i
UZ;anninc992i;p0p100;2000;8710748.0;992;i
UZ;anninc992i;p0p100;2001;8847686.0;992;i
UZ;anninc992i;p0p100;2002;8961519.0;992;i
UZ;anninc992i;p0p100;2003;9072575.0;992;i
UZ;anninc992i;p0p100;2004;9481225.0;992;i
UZ;anninc992i;p0p100;2005;9839548.0;992;i
UZ;anninc992i;p0p100;2006;10249363.0;992;i
UZ;anninc992i;p0p100;2007;10890904.0;992;i
UZ;anninc992i;p0p100;2008;11514647.0;992;i
UZ;anninc992i;p0p100;2009;12052341.0;992;i
UZ;anninc992i;p0p100;2010;12671551.0;992;i
UZ;anninc992i;p0p100;2011;13337859.0;992;i
UZ;anninc992i;p0p100;2012;14012229.0;992;i
UZ;anninc992i;p0p100;2013;14703435.0;992;i
UZ;anninc992i;p0p100;2014;15455604.0;992;i
UZ;anninc992i;p0p100;2015;16266468.0;992;i
UZ;anninc992i;p0p100;2016;16863568.0;992;i
UZ;anninc992i;p0p100;2017;17491190.0;992;i
UZ;anninc992i;p0p100;2018;18144546.0;992;i
UZ;annfin999i;p0p100;2016;133213.59;999;i
UZ;annfin999i;p0p100;2017;236195.91;999;i
