country;variable;percentile;year;value;age;pop
VC;anninc999i;p0p100;1960;5119.5;999;i
VC;anninc999i;p0p100;1961;5292.0;999;i
VC;anninc999i;p0p100;1962;5433.5;999;i
VC;anninc999i;p0p100;1963;5005.7998;999;i
VC;anninc999i;p0p100;1964;5154.7002;999;i
VC;anninc999i;p0p100;1965;5154.2002;999;i
VC;anninc999i;p0p100;1966;5104.8999;999;i
VC;anninc999i;p0p100;1967;4527.7998;999;i
VC;anninc999i;p0p100;1968;4792.0;999;i
VC;anninc999i;p0p100;1969;4868.7002;999;i
VC;anninc999i;p0p100;1970;5355.1001;999;i
VC;anninc999i;p0p100;1971;5436.3999;999;i
VC;anninc999i;p0p100;1972;6879.7002;999;i
VC;anninc999i;p0p100;1973;5981.2002;999;i
VC;anninc999i;p0p100;1974;5353.2002;999;i
VC;anninc999i;p0p100;1975;4856.7002;999;i
VC;anninc999i;p0p100;1976;5351.6001;999;i
VC;anninc999i;p0p100;1977;5442.8999;999;i
VC;anninc999i;p0p100;1978;5940.1001;999;i
VC;anninc999i;p0p100;1979;5997.7002;999;i
VC;anninc999i;p0p100;1980;6061.6001;999;i
VC;anninc999i;p0p100;1981;6327.2998;999;i
VC;anninc999i;p0p100;1982;6423.2002;999;i
VC;anninc999i;p0p100;1983;6532.2998;999;i
VC;anninc999i;p0p100;1984;6888.2002;999;i
VC;anninc999i;p0p100;1985;7297.3999;999;i
VC;anninc999i;p0p100;1986;7352.6001;999;i
VC;anninc999i;p0p100;1987;7562.7002;999;i
VC;anninc999i;p0p100;1988;8313.4004;999;i
VC;anninc999i;p0p100;1989;8607.2002;999;i
VC;anninc999i;p0p100;1990;8769.0996;999;i
VC;anninc999i;p0p100;1991;8834.9004;999;i
VC;anninc999i;p0p100;1992;9573.7998;999;i
VC;anninc999i;p0p100;1993;9769.5;999;i
VC;anninc999i;p0p100;1994;9405.7998;999;i
VC;anninc999i;p0p100;1995;10175.8;999;i
VC;anninc999i;p0p100;1996;10398.7;999;i
VC;anninc999i;p0p100;1997;10653.4;999;i
VC;anninc999i;p0p100;1998;11219.5;999;i
VC;anninc999i;p0p100;1999;11528.0;999;i
VC;anninc999i;p0p100;2000;11693.4;999;i
VC;anninc999i;p0p100;2001;11982.7;999;i
VC;anninc999i;p0p100;2002;12738.0;999;i
VC;anninc999i;p0p100;2003;13522.4;999;i
VC;anninc999i;p0p100;2004;13868.0;999;i
VC;anninc999i;p0p100;2005;14204.9;999;i
VC;anninc999i;p0p100;2006;15575.0;999;i
VC;anninc999i;p0p100;2007;16306.3;999;i
VC;anninc999i;p0p100;2008;16592.9;999;i
VC;anninc999i;p0p100;2009;16420.0;999;i
VC;anninc999i;p0p100;2010;15810.6;999;i
VC;anninc999i;p0p100;2011;15707.8;999;i
VC;anninc999i;p0p100;2012;16194.4;999;i
VC;anninc999i;p0p100;2013;16502.199;999;i
VC;anninc999i;p0p100;2014;15933.5;999;i
VC;anninc999i;p0p100;2015;16572.9;999;i
VC;anninc999i;p0p100;2016;16586.0;999;i
VC;anninc999i;p0p100;2017;16474.4;999;i
VC;anninc999i;p0p100;2018;16842.6;999;i
VC;anninc992i;p0p100;1960;12480.0;992;i
VC;anninc992i;p0p100;1961;13030.8;992;i
VC;anninc992i;p0p100;1962;13539.4;992;i
VC;anninc992i;p0p100;1963;12629.3;992;i
VC;anninc992i;p0p100;1964;13149.2;992;i
VC;anninc992i;p0p100;1965;13267.4;992;i
VC;anninc992i;p0p100;1966;13182.9;992;i
VC;anninc992i;p0p100;1967;11709.3;992;i
VC;anninc992i;p0p100;1968;12391.6;992;i
VC;anninc992i;p0p100;1969;12580.9;992;i
VC;anninc992i;p0p100;1970;13824.4;992;i
VC;anninc992i;p0p100;1971;13936.9;992;i
VC;anninc992i;p0p100;1972;17529.9;992;i
VC;anninc992i;p0p100;1973;15145.4;992;i
VC;anninc992i;p0p100;1974;13458.7;992;i
VC;anninc992i;p0p100;1975;12102.9;992;i
