country;variable;percentile;year;value;age;pop
WO-MER;aptinc992j;p9p10;1980;346.10001;992;j
WO-MER;aptinc992j;p9p10;1981;351.29999;992;j
WO-MER;aptinc992j;p9p10;1982;356.29999;992;j
WO-MER;aptinc992j;p9p10;1983;342.89999;992;j
WO-MER;aptinc992j;p9p10;1984;359.39999;992;j
WO-MER;aptinc992j;p9p10;1985;378.39999;992;j
WO-MER;aptinc992j;p9p10;1986;375.5;992;j
WO-MER;aptinc992j;p9p10;1987;381.70001;992;j
WO-MER;aptinc992j;p9p10;1988;388.39999;992;j
WO-MER;aptinc992j;p9p10;1989;395.89999;992;j
WO-MER;aptinc992j;p9p10;1990;396.39999;992;j
WO-MER;aptinc992j;p9p10;1991;381.70001;992;j
WO-MER;aptinc992j;p9p10;1992;372.89999;992;j
WO-MER;aptinc992j;p9p10;1993;370.5;992;j
WO-MER;aptinc992j;p9p10;1994;371.5;992;j
WO-MER;aptinc992j;p9p10;1995;377.79999;992;j
WO-MER;aptinc992j;p9p10;1996;384.79999;992;j
WO-MER;aptinc992j;p9p10;1997;397.60001;992;j
WO-MER;aptinc992j;p9p10;1998;400.29999;992;j
WO-MER;aptinc992j;p9p10;1999;410.0;992;j
WO-MER;aptinc992j;p9p10;2000;409.5;992;j
WO-MER;aptinc992j;p9p10;2001;409.60001;992;j
WO-MER;aptinc992j;p9p10;2002;411.0;992;j
WO-MER;aptinc992j;p9p10;2003;415.60001;992;j
WO-MER;aptinc992j;p9p10;2004;435.39999;992;j
WO-MER;aptinc992j;p9p10;2005;445.20001;992;j
WO-MER;aptinc992j;p9p10;2006;465.70001;992;j
WO-MER;aptinc992j;p9p10;2007;490.20001;992;j
WO-MER;aptinc992j;p9p10;2008;503.29999;992;j
WO-MER;aptinc992j;p9p10;2009;505.10001;992;j
WO-MER;aptinc992j;p9p10;2010;511.89999;992;j
WO-MER;aptinc992j;p9p10;2011;520.70001;992;j
WO-MER;aptinc992j;p9p10;2012;526.70001;992;j
WO-MER;aptinc992j;p9p10;2013;536.79999;992;j
WO-MER;aptinc992j;p9p10;2014;556.29999;992;j
WO-MER;aptinc992j;p9p10;2015;567.0;992;j
WO-MER;aptinc992j;p9p10;2016;574.09998;992;j
WO-MER;aptinc992j;p99p99.1;1980;73591.898;992;j
WO-MER;aptinc992j;p99p99.1;1981;73541.297;992;j
WO-MER;aptinc992j;p99p99.1;1982;70758.797;992;j
WO-MER;aptinc992j;p99p99.1;1983;72909.398;992;j
WO-MER;aptinc992j;p99p99.1;1984;76319.703;992;j
WO-MER;aptinc992j;p99p99.1;1985;78869.898;992;j
WO-MER;aptinc992j;p99p99.1;1986;80223.203;992;j
WO-MER;aptinc992j;p99p99.1;1987;81451.5;992;j
WO-MER;aptinc992j;p99p99.1;1988;84296.102;992;j
WO-MER;aptinc992j;p99p99.1;1989;85291.297;992;j
WO-MER;aptinc992j;p99p99.1;1990;84510.398;992;j
