country;variable;percentile;year;value;age;pop
WS;anninc999i;p0p100;1970;5562.2002;999;i
WS;anninc999i;p0p100;1971;6269.6001;999;i
WS;anninc999i;p0p100;1972;6278.8999;999;i
WS;anninc999i;p0p100;1973;6701.0;999;i
WS;anninc999i;p0p100;1974;5866.2998;999;i
WS;anninc999i;p0p100;1975;5574.0;999;i
WS;anninc999i;p0p100;1976;6098.2998;999;i
WS;anninc999i;p0p100;1977;5994.6001;999;i
WS;anninc999i;p0p100;1978;6353.1001;999;i
WS;anninc999i;p0p100;1979;7216.8999;999;i
WS;anninc999i;p0p100;1980;6717.0;999;i
WS;anninc999i;p0p100;1981;6032.2998;999;i
WS;anninc999i;p0p100;1982;5933.5;999;i
WS;anninc999i;p0p100;1983;5923.3999;999;i
WS;anninc999i;p0p100;1984;5964.5;999;i
WS;anninc999i;p0p100;1985;6182.0;999;i
WS;anninc999i;p0p100;1986;6506.5;999;i
WS;anninc999i;p0p100;1987;6504.8999;999;i
WS;anninc999i;p0p100;1988;6369.3999;999;i
WS;anninc999i;p0p100;1989;6573.7998;999;i
WS;anninc999i;p0p100;1990;6284.7002;999;i
WS;anninc999i;p0p100;1991;6132.7998;999;i
WS;anninc999i;p0p100;1992;6079.3999;999;i
WS;anninc999i;p0p100;1993;6286.1001;999;i
WS;anninc999i;p0p100;1994;6022.0;999;i
WS;anninc999i;p0p100;1995;6360.6001;999;i
WS;anninc999i;p0p100;1996;6818.3999;999;i
WS;anninc999i;p0p100;1997;6842.7002;999;i
WS;anninc999i;p0p100;1998;6960.8999;999;i
WS;anninc999i;p0p100;1999;7104.8999;999;i
WS;anninc999i;p0p100;2000;7576.2998;999;i
WS;anninc999i;p0p100;2001;8147.3999;999;i
WS;anninc999i;p0p100;2002;8334.5996;999;i
WS;anninc999i;p0p100;2003;8741.4004;999;i
WS;anninc999i;p0p100;2004;8471.0996;999;i
WS;anninc999i;p0p100;2005;8430.0;999;i
WS;anninc999i;p0p100;2006;8552.7998;999;i
WS;anninc999i;p0p100;2007;9259.7998;999;i
WS;anninc999i;p0p100;2008;8888.2002;999;i
WS;anninc999i;p0p100;2009;8695.0996;999;i
WS;anninc999i;p0p100;2010;9182.0;999;i
WS;anninc999i;p0p100;2011;9434.2002;999;i
WS;anninc999i;p0p100;2012;9228.2002;999;i
WS;anninc999i;p0p100;2013;9025.7998;999;i
WS;anninc999i;p0p100;2014;9323.9004;999;i
WS;anninc999i;p0p100;2015;9626.2998;999;i
WS;anninc999i;p0p100;2016;10168.8;999;i
WS;anninc999i;p0p100;2017;10139.1;999;i
WS;anninc999i;p0p100;2018;9901.5996;999;i
WS;anninc992i;p0p100;1970;14908.2;992;i
WS;anninc992i;p0p100;1971;16731.301;992;i
WS;anninc992i;p0p100;1972;16676.699;992;i
WS;anninc992i;p0p100;1973;17731.5;992;i
WS;anninc992i;p0p100;1974;15491.2;992;i
WS;anninc992i;p0p100;1975;14705.2;992;i
WS;anninc992i;p0p100;1976;15857.1;992;i
WS;anninc992i;p0p100;1977;15391.1;992;i
WS;anninc992i;p0p100;1978;16137.8;992;i
WS;anninc992i;p0p100;1979;18155.0;992;i
WS;anninc992i;p0p100;1980;16728.6;992;i
WS;anninc992i;p0p100;1981;14737.7;992;i
WS;anninc992i;p0p100;1982;14233.7;992;i
WS;anninc992i;p0p100;1983;13984.9;992;i
WS;anninc992i;p0p100;1984;13893.3;992;i
WS;anninc992i;p0p100;1985;14229.9;992;i
WS;anninc992i;p0p100;1986;14667.8;992;i
WS;anninc992i;p0p100;1987;14400.0;992;i
WS;anninc992i;p0p100;1988;13902.4;992;i
WS;anninc992i;p0p100;1989;14205.6;992;i
WS;anninc992i;p0p100;1990;13482.0;992;i
WS;anninc992i;p0p100;1991;12980.4;992;i
WS;anninc992i;p0p100;1992;12738.1;992;i
WS;anninc992i;p0p100;1993;13100.9;992;i
WS;anninc992i;p0p100;1994;12539.7;992;i
WS;anninc992i;p0p100;1995;13276.5;992;i
WS;anninc992i;p0p100;1996;14106.6;992;i
WS;anninc992i;p0p100;1997;14054.1;992;i
WS;anninc992i;p0p100;1998;14234.1;992;i
WS;anninc992i;p0p100;1999;14514.9;992;i
WS;anninc992i;p0p100;2000;15508.0;992;i
WS;anninc992i;p0p100;2001;16517.301;992;i
WS;anninc992i;p0p100;2002;16774.699;992;i
WS;anninc992i;p0p100;2003;17504.301;992;i
WS;anninc992i;p0p100;2004;16902.1;992;i
WS;anninc992i;p0p100;2005;16772.801;992;i
WS;anninc992i;p0p100;2006;16952.1;992;i
WS;anninc992i;p0p100;2007;18286.9;992;i
WS;anninc992i;p0p100;2008;17496.301;992;i
WS;anninc992i;p0p100;2009;17072.801;992;i
WS;anninc992i;p0p100;2010;18004.1;992;i
WS;anninc992i;p0p100;2011;18417.699;992;i
WS;anninc992i;p0p100;2012;17954.801;992;i
WS;anninc992i;p0p100;2013;17545.5;992;i
WS;anninc992i;p0p100;2014;18156.1;992;i
WS;anninc992i;p0p100;2015;18797.6;992;i
WS;anninc992i;p0p100;2016;19763.199;992;i
WS;anninc992i;p0p100;2017;19622.1;992;i
WS;anninc992i;p0p100;2018;19064.199;992;i
WS;annfin999i;p0p100;1977;-0.69999999;999;i
WS;annfin999i;p0p100;1978;-4.3000002;999;i
WS;annfin999i;p0p100;1979;-18.700001;999;i
WS;annfin999i;p0p100;1980;-7.6999998;999;i
WS;annfin999i;p0p100;1981;-2.0999999;999;i
WS;annfin999i;p0p100;1982;-7.4000001;999;i
WS;annfin999i;p0p100;1983;-12.0;999;i
WS;annfin999i;p0p100;1984;-15.3;999;i
WS;annfin999i;p0p100;1985;-14.1;999;i
WS;annfin999i;p0p100;1986;-27.200001;999;i
WS;annfin999i;p0p100;1987;-34.799999;999;i
WS;annfin999i;p0p100;1988;-45.0;999;i
WS;annfin999i;p0p100;1989;-80.699997;999;i
WS;annfin999i;p0p100;1990;-19.700001;999;i
WS;annfin999i;p0p100;1991;26.1;999;i
WS;annfin999i;p0p100;1992;39.200001;999;i
WS;annfin999i;p0p100;1993;39.700001;999;i
WS;annfin999i;p0p100;1994;20.1;999;i
WS;annfin999i;p0p100;1995;31.9;999;i
WS;annfin999i;p0p100;1996;39.5;999;i
WS;annfin999i;p0p100;1997;28.200001;999;i
WS;annfin999i;p0p100;1998;45.200001;999;i
WS;annfin999i;p0p100;1999;24.9;999;i
WS;annfin999i;p0p100;2000;28.0;999;i
WS;annfin999i;p0p100;2001;26.5;999;i
WS;annfin999i;p0p100;2002;35.599998;999;i
WS;annfin999i;p0p100;2003;32.200001;999;i
WS;annfin999i;p0p100;2004;-554.0;999;i
WS;annfin999i;p0p100;2005;-996.29999;999;i
WS;annfin999i;p0p100;2006;-838.59998;999;i
WS;annfin999i;p0p100;2007;-690.09998;999;i
WS;annfin999i;p0p100;2008;-840.79999;999;i
WS;annfin999i;p0p100;2009;-521.70001;999;i
WS;annfin999i;p0p100;2010;-401.0;999;i
WS;annfin999i;p0p100;2011;-439.0;999;i
WS;annfin999i;p0p100;2012;-303.79999;999;i
WS;annfin999i;p0p100;2013;-467.39999;999;i
WS;annfin999i;p0p100;2014;-269.70001;999;i
WS;annfin999i;p0p100;2015;-187.89999;999;i
WS;annfin999i;p0p100;2016;-272.5;999;i
WS;annfin999i;p0p100;2017;-186.89999;999;i
WS;annfin999i;p0p100;2018;-185.60001;999;i
WS;annfin992i;p0p100;1977;-1.7;992;i
WS;annfin992i;p0p100;1978;-11.0;992;i
WS;annfin992i;p0p100;1979;-47.099998;992;i
WS;annfin992i;p0p100;1980;-19.200001;992;i
WS;annfin992i;p0p100;1981;-5.0999999;992;i
WS;annfin992i;p0p100;1982;-17.799999;992;i
WS;annfin992i;p0p100;1983;-28.200001;992;i
WS;annfin992i;p0p100;1984;-35.5;992;i
WS;annfin992i;p0p100;1985;-32.5;992;i
WS;annfin992i;p0p100;1986;-61.299999;992;i
WS;annfin992i;p0p100;1987;-77.0;992;i
WS;annfin992i;p0p100;1988;-98.199997;992;i
WS;annfin992i;p0p100;1989;-174.39999;992;i
WS;annfin992i;p0p100;1990;-42.299999;992;i
WS;annfin992i;p0p100;1991;55.099998;992;i
WS;annfin992i;p0p100;1992;82.0;992;i
WS;annfin992i;p0p100;1993;82.699997;992;i
WS;annfin992i;p0p100;1994;41.799999;992;i
WS;annfin992i;p0p100;1995;66.599998;992;i
WS;annfin992i;p0p100;1996;81.599998;992;i
WS;annfin992i;p0p100;1997;57.900002;992;i
WS;annfin992i;p0p100;1998;92.5;992;i
WS;annfin992i;p0p100;1999;51.0;992;i
WS;annfin992i;p0p100;2000;57.400002;992;i
WS;annfin992i;p0p100;2001;53.799999;992;i
WS;annfin992i;p0p100;2002;71.599998;992;i
WS;annfin992i;p0p100;2003;64.5;992;i
WS;annfin992i;p0p100;2004;-1105.4;992;i
WS;annfin992i;p0p100;2005;-1982.2;992;i
WS;annfin992i;p0p100;2006;-1662.2;992;i
WS;annfin992i;p0p100;2007;-1362.8;992;i
WS;annfin992i;p0p100;2008;-1655.0;992;i
WS;annfin992i;p0p100;2009;-1024.3;992;i
WS;annfin992i;p0p100;2010;-786.20001;992;i
WS;annfin992i;p0p100;2011;-857.09998;992;i
WS;annfin992i;p0p100;2012;-591.20001;992;i
WS;annfin992i;p0p100;2013;-908.5;992;i
WS;annfin992i;p0p100;2014;-525.20001;992;i
WS;annfin992i;p0p100;2015;-366.89999;992;i
WS;annfin992i;p0p100;2016;-529.70001;992;i
WS;annfin992i;p0p100;2017;-361.60001;992;i
WS;annfin992i;p0p100;2018;-357.29999;992;i
WS;andpro999i;p0p100;1970;5562.7998;999;i
WS;andpro999i;p0p100;1971;6270.2998;999;i
WS;andpro999i;p0p100;1972;6279.6001;999;i
WS;andpro999i;p0p100;1973;6701.7002;999;i
WS;andpro999i;p0p100;1974;5867.0;999;i
WS;andpro999i;p0p100;1975;5574.6001;999;i
WS;andpro999i;p0p100;1976;6099.0;999;i
WS;andpro999i;p0p100;1977;5995.2002;999;i
WS;andpro999i;p0p100;1978;6357.3999;999;i
WS;andpro999i;p0p100;1979;7235.6001;999;i
WS;andpro999i;p0p100;1980;6724.7998;999;i
WS;andpro999i;p0p100;1981;6034.3999;999;i
WS;andpro999i;p0p100;1982;5940.8999;999;i
WS;andpro999i;p0p100;1983;5935.2998;999;i
WS;andpro999i;p0p100;1984;5979.7002;999;i
WS;andpro999i;p0p100;1985;6196.1001;999;i
WS;andpro999i;p0p100;1986;6533.7002;999;i
WS;andpro999i;p0p100;1987;6539.6001;999;i
WS;andpro999i;p0p100;1988;6414.3999;999;i
WS;andpro999i;p0p100;1989;6654.5;999;i
WS;andpro999i;p0p100;1990;6304.3999;999;i
WS;andpro999i;p0p100;1991;6106.7002;999;i
WS;andpro999i;p0p100;1992;6040.2002;999;i
WS;andpro999i;p0p100;1993;6246.5;999;i
WS;andpro999i;p0p100;1994;6002.0;999;i
WS;andpro999i;p0p100;1995;6328.7002;999;i
WS;andpro999i;p0p100;1996;6779.0;999;i
WS;andpro999i;p0p100;1997;6814.5;999;i
WS;andpro999i;p0p100;1998;6915.6001;999;i
WS;andpro999i;p0p100;1999;7080.0;999;i
WS;andpro999i;p0p100;2000;7548.2002;999;i
WS;andpro999i;p0p100;2001;8120.8999;999;i
WS;andpro999i;p0p100;2002;8299.0;999;i
WS;andpro999i;p0p100;2003;8709.2002;999;i
WS;andpro999i;p0p100;2004;9025.0996;999;i
WS;andpro999i;p0p100;2005;9426.2998;999;i
WS;andpro999i;p0p100;2006;9391.4004;999;i
WS;andpro999i;p0p100;2007;9949.7998;999;i
WS;andpro999i;p0p100;2008;9729.0;999;i
WS;andpro999i;p0p100;2009;9216.7002;999;i
WS;andpro999i;p0p100;2010;9582.9004;999;i
WS;andpro999i;p0p100;2011;9873.2002;999;i
WS;andpro999i;p0p100;2012;9532.0996;999;i
WS;andpro999i;p0p100;2013;9493.0996;999;i
WS;andpro999i;p0p100;2014;9593.5996;999;i
WS;andpro999i;p0p100;2015;9814.2002;999;i
WS;andpro999i;p0p100;2016;10441.3;999;i
WS;andpro999i;p0p100;2017;10326.0;999;i
WS;andpro999i;p0p100;2018;10087.2;999;i
WS;andpro992i;p0p100;1970;14909.8;992;i
WS;andpro992i;p0p100;1971;16733.1;992;i
WS;andpro992i;p0p100;1972;16678.5;992;i
WS;andpro992i;p0p100;1973;17733.4;992;i
WS;andpro992i;p0p100;1974;15492.9;992;i
WS;andpro992i;p0p100;1975;14706.8;992;i
WS;andpro992i;p0p100;1976;15858.8;992;i
WS;andpro992i;p0p100;1977;15392.8;992;i
WS;andpro992i;p0p100;1978;16148.8;992;i
WS;andpro992i;p0p100;1979;18202.1;992;i
WS;andpro992i;p0p100;1980;16747.801;992;i
WS;andpro992i;p0p100;1981;14742.8;992;i
WS;andpro992i;p0p100;1982;14251.5;992;i
WS;andpro992i;p0p100;1983;14013.1;992;i
WS;andpro992i;p0p100;1984;13928.9;992;i
WS;andpro992i;p0p100;1985;14262.3;992;i
WS;andpro992i;p0p100;1986;14729.1;992;i
WS;andpro992i;p0p100;1987;14477.0;992;i
WS;andpro992i;p0p100;1988;14000.6;992;i
WS;andpro992i;p0p100;1989;14380.0;992;i
WS;andpro992i;p0p100;1990;13524.2;992;i
WS;andpro992i;p0p100;1991;12925.2;992;i
WS;andpro992i;p0p100;1992;12656.0;992;i
WS;andpro992i;p0p100;1993;13018.2;992;i
WS;andpro992i;p0p100;1994;12497.9;992;i
WS;andpro992i;p0p100;1995;13209.9;992;i
WS;andpro992i;p0p100;1996;14024.9;992;i
WS;andpro992i;p0p100;1997;13996.1;992;i
WS;andpro992i;p0p100;1998;14141.6;992;i
WS;andpro992i;p0p100;1999;14464.0;992;i
WS;andpro992i;p0p100;2000;15450.6;992;i
WS;andpro992i;p0p100;2001;16463.5;992;i
WS;andpro992i;p0p100;2002;16703.1;992;i
WS;andpro992i;p0p100;2003;17439.801;992;i
WS;andpro992i;p0p100;2004;18007.5;992;i
WS;andpro992i;p0p100;2005;18755.0;992;i
WS;andpro992i;p0p100;2006;18614.301;992;i
WS;andpro992i;p0p100;2007;19649.699;992;i
WS;andpro992i;p0p100;2008;19151.301;992;i
WS;andpro992i;p0p100;2009;18097.1;992;i
WS;andpro992i;p0p100;2010;18790.301;992;i
WS;andpro992i;p0p100;2011;19274.801;992;i
WS;andpro992i;p0p100;2012;18546.0;992;i
WS;andpro992i;p0p100;2013;18454.0;992;i
WS;andpro992i;p0p100;2014;18681.301;992;i
WS;andpro992i;p0p100;2015;19164.4;992;i
WS;andpro992i;p0p100;2016;20292.9;992;i
WS;andpro992i;p0p100;2017;19983.801;992;i
WS;andpro992i;p0p100;2018;19421.5;992;i
WS;agdpro999i;p0p100;1970;6153.0;999;i
WS;agdpro999i;p0p100;1971;6875.7002;999;i
WS;agdpro999i;p0p100;1972;6895.6001;999;i
WS;agdpro999i;p0p100;1973;7320.5;999;i
WS;agdpro999i;p0p100;1974;6480.6001;999;i
WS;agdpro999i;p0p100;1975;6186.2002;999;i
WS;agdpro999i;p0p100;1976;6718.2002;999;i
WS;agdpro999i;p0p100;1977;6628.7998;999;i
WS;agdpro999i;p0p100;1978;7008.2002;999;i
WS;agdpro999i;p0p100;1979;7897.2002;999;i
WS;agdpro999i;p0p100;1980;7381.1001;999;i
WS;agdpro999i;p0p100;1981;6674.7998;999;i
WS;agdpro999i;p0p100;1982;6566.6001;999;i
WS;agdpro999i;p0p100;1983;6554.1001;999;i
WS;agdpro999i;p0p100;1984;6601.2002;999;i
WS;agdpro999i;p0p100;1985;6828.1001;999;i
WS;agdpro999i;p0p100;1986;7179.1001;999;i
WS;agdpro999i;p0p100;1987;7194.8999;999;i
WS;agdpro999i;p0p100;1988;7073.1001;999;i
WS;agdpro999i;p0p100;1989;7309.7002;999;i
WS;agdpro999i;p0p100;1990;6949.5;999;i
WS;agdpro999i;p0p100;1991;6740.2002;999;i
WS;agdpro999i;p0p100;1992;6666.1001;999;i
WS;agdpro999i;p0p100;1993;6871.7002;999;i
WS;agdpro999i;p0p100;1994;6634.5;999;i
WS;agdpro999i;p0p100;1995;6978.7002;999;i
WS;agdpro999i;p0p100;1996;7454.1001;999;i
WS;agdpro999i;p0p100;1997;7518.6001;999;i
WS;agdpro999i;p0p100;1998;7653.5;999;i
WS;agdpro999i;p0p100;1999;7858.1001;999;i
WS;agdpro999i;p0p100;2000;8374.2998;999;i
WS;agdpro999i;p0p100;2001;9000.0;999;i
WS;agdpro999i;p0p100;2002;9232.0996;999;i
WS;agdpro999i;p0p100;2003;9694.9004;999;i
WS;agdpro999i;p0p100;2004;10059.1;999;i
WS;agdpro999i;p0p100;2005;10500.8;999;i
WS;agdpro999i;p0p100;2006;10495.5;999;i
WS;agdpro999i;p0p100;2007;11072.3;999;i
WS;agdpro999i;p0p100;2008;10856.9;999;i
WS;agdpro999i;p0p100;2009;10343.1;999;i
WS;agdpro999i;p0p100;2010;10709.0;999;i
WS;agdpro999i;p0p100;2011;10999.8;999;i
WS;agdpro999i;p0p100;2012;10659.3;999;i
WS;agdpro999i;p0p100;2013;10625.9;999;i
WS;agdpro999i;p0p100;2014;10740.1;999;i
WS;agdpro999i;p0p100;2015;10982.1;999;i
WS;agdpro999i;p0p100;2016;11633.9;999;i
WS;agdpro999i;p0p100;2017;11539.5;999;i
WS;agdpro999i;p0p100;2018;11317.8;999;i
WS;agdpro992i;p0p100;1970;16491.801;992;i
WS;agdpro992i;p0p100;1971;18348.699;992;i
WS;agdpro992i;p0p100;1972;18314.6;992;i
WS;agdpro992i;p0p100;1973;19370.6;992;i
WS;agdpro992i;p0p100;1974;17113.301;992;i
WS;agdpro992i;p0p100;1975;16320.2;992;i
WS;agdpro992i;p0p100;1976;17468.9;992;i
WS;agdpro992i;p0p100;1977;17019.5;992;i
WS;agdpro992i;p0p100;1978;17801.9;992;i
WS;agdpro992i;p0p100;1979;19866.4;992;i
WS;agdpro992i;p0p100;1980;18382.4;992;i
WS;agdpro992i;p0p100;1981;16307.5;992;i
WS;agdpro992i;p0p100;1982;15752.6;992;i
WS;agdpro992i;p0p100;1983;15474.1;992;i
WS;agdpro992i;p0p100;1984;15376.4;992;i
WS;agdpro992i;p0p100;1985;15717.0;992;i
WS;agdpro992i;p0p100;1986;16184.0;992;i
WS;agdpro992i;p0p100;1987;15927.6;992;i
WS;agdpro992i;p0p100;1988;15438.2;992;i
WS;agdpro992i;p0p100;1989;15796.0;992;i
WS;agdpro992i;p0p100;1990;14908.0;992;i
WS;agdpro992i;p0p100;1991;14266.1;992;i
WS;agdpro992i;p0p100;1992;13967.3;992;i
WS;agdpro992i;p0p100;1993;14321.3;992;i
WS;agdpro992i;p0p100;1994;13815.1;992;i
