country;variable;percentile;year;value;age;pop
XA-MER;aptinc992j;p9p100;1980;2608.3999;992;j
XA-MER;aptinc992j;p9p100;1981;2658.0;992;j
XA-MER;aptinc992j;p9p100;1982;2722.3;992;j
XA-MER;aptinc992j;p9p100;1983;2795.1001;992;j
XA-MER;aptinc992j;p9p100;1984;2917.3999;992;j
XA-MER;aptinc992j;p9p100;1985;3046.7;992;j
XA-MER;aptinc992j;p9p100;1986;3084.6001;992;j
XA-MER;aptinc992j;p9p100;1987;3111.3;992;j
XA-MER;aptinc992j;p9p100;1988;3254.7;992;j
XA-MER;aptinc992j;p9p100;1989;3289.3;992;j
XA-MER;aptinc992j;p9p100;1990;3300.3999;992;j
XA-MER;aptinc992j;p9p100;1991;3395.2;992;j
XA-MER;aptinc992j;p9p100;1992;3447.3999;992;j
XA-MER;aptinc992j;p9p100;1993;3431.6001;992;j
XA-MER;aptinc992j;p9p100;1994;3484.0;992;j
XA-MER;aptinc992j;p9p100;1995;3541.8;992;j
XA-MER;aptinc992j;p9p100;1996;3631.8999;992;j
XA-MER;aptinc992j;p9p100;1997;3658.7;992;j
XA-MER;aptinc992j;p9p100;1998;3561.8999;992;j
XA-MER;aptinc992j;p9p100;1999;3581.0;992;j
XA-MER;aptinc992j;p9p100;2000;3694.5;992;j
XA-MER;aptinc992j;p9p100;2001;3738.3;992;j
XA-MER;aptinc992j;p9p100;2002;3838.1001;992;j
XA-MER;aptinc992j;p9p100;2003;3957.8999;992;j
XA-MER;aptinc992j;p9p100;2004;4147.8999;992;j
XA-MER;aptinc992j;p9p100;2005;4338.2998;992;j
XA-MER;aptinc992j;p9p100;2006;4579.5;992;j
XA-MER;aptinc992j;p9p100;2007;4881.5;992;j
XA-MER;aptinc992j;p9p100;2008;5003.2002;992;j
XA-MER;aptinc992j;p9p100;2009;5017.3999;992;j
XA-MER;aptinc992j;p9p100;2010;5363.2002;992;j
XA-MER;aptinc992j;p9p100;2011;5583.6001;992;j
XA-MER;aptinc992j;p9p100;2012;5804.7998;992;j
XA-MER;aptinc992j;p9p100;2013;6074.7998;992;j
XA-MER;aptinc992j;p9p100;2014;6344.2002;992;j
