country;variable;percentile;year;value;age;pop
XA;aptinc992j;p58p100;1980;7687.3999;992;j
XA;aptinc992j;p58p100;1981;7802.5;992;j
XA;aptinc992j;p58p100;1982;8015.0;992;j
XA;aptinc992j;p58p100;1983;8319.0;992;j
XA;aptinc992j;p58p100;1984;8536.2998;992;j
XA;aptinc992j;p58p100;1985;8774.7998;992;j
XA;aptinc992j;p58p100;1986;8879.2998;992;j
XA;aptinc992j;p58p100;1987;8892.0;992;j
XA;aptinc992j;p58p100;1988;9267.0;992;j
XA;aptinc992j;p58p100;1989;9457.7002;992;j
XA;aptinc992j;p58p100;1990;9537.9004;992;j
XA;aptinc992j;p58p100;1991;9909.0996;992;j
XA;aptinc992j;p58p100;1992;10121.9;992;j
XA;aptinc992j;p58p100;1993;10178.0;992;j
XA;aptinc992j;p58p100;1994;10378.4;992;j
XA;aptinc992j;p58p100;1995;10558.1;992;j
XA;aptinc992j;p58p100;1996;10805.5;992;j
XA;aptinc992j;p58p100;1997;10963.2;992;j
XA;aptinc992j;p58p100;1998;10704.4;992;j
XA;aptinc992j;p58p100;1999;10792.4;992;j
XA;aptinc992j;p58p100;2000;11281.8;992;j
XA;aptinc992j;p58p100;2001;11508.3;992;j
XA;aptinc992j;p58p100;2002;12005.7;992;j
XA;aptinc992j;p58p100;2003;12484.6;992;j
XA;aptinc992j;p58p100;2004;13149.0;992;j
XA;aptinc992j;p58p100;2005;13922.1;992;j
XA;aptinc992j;p58p100;2006;14815.9;992;j
XA;aptinc992j;p58p100;2007;15963.1;992;j
XA;aptinc992j;p58p100;2008;16623.699;992;j
XA;aptinc992j;p58p100;2009;16908.301;992;j
XA;aptinc992j;p58p100;2010;18200.199;992;j
XA;aptinc992j;p58p100;2011;19164.0;992;j
XA;aptinc992j;p58p100;2012;19991.9;992;j
XA;aptinc992j;p58p100;2013;20990.699;992;j
XA;aptinc992j;p58p100;2014;22004.301;992;j
XA;aptinc992j;p58p100;2015;22846.5;992;j
XA;aptinc992j;p58p100;2016;23921.1;992;j
XA;aptinc992j;p57p58;1980;2394.3999;992;j
XA;aptinc992j;p57p58;1981;2498.8999;992;j
XA;aptinc992j;p57p58;1982;2625.3;992;j
XA;aptinc992j;p57p58;1983;2620.1001;992;j
XA;aptinc992j;p57p58;1984;2915.8;992;j
XA;aptinc992j;p57p58;1985;3136.3999;992;j
XA;aptinc992j;p57p58;1986;3254.5;992;j
XA;aptinc992j;p57p58;1987;3369.2;992;j
XA;aptinc992j;p57p58;1988;3476.5;992;j
XA;aptinc992j;p57p58;1989;3459.0;992;j
XA;aptinc992j;p57p58;1990;3438.0;992;j
XA;aptinc992j;p57p58;1991;3584.5;992;j
XA;aptinc992j;p57p58;1992;3668.7;992;j
XA;aptinc992j;p57p58;1993;3619.6001;992;j
XA;aptinc992j;p57p58;1994;3676.7;992;j
XA;aptinc992j;p57p58;1995;3762.2;992;j
XA;aptinc992j;p57p58;1996;3887.7;992;j
XA;aptinc992j;p57p58;1997;3926.2;992;j
XA;aptinc992j;p57p58;1998;3885.8999;992;j
XA;aptinc992j;p57p58;1999;3941.8;992;j
XA;aptinc992j;p57p58;2000;4011.2;992;j
XA;aptinc992j;p57p58;2001;4035.8999;992;j
XA;aptinc992j;p57p58;2002;4020.8;992;j
XA;aptinc992j;p57p58;2003;4112.0;992;j
XA;aptinc992j;p57p58;2004;4301.2998;992;j
XA;aptinc992j;p57p58;2005;4442.5;992;j
XA;aptinc992j;p57p58;2006;4695.8999;992;j
XA;aptinc992j;p57p58;2007;5003.2002;992;j
XA;aptinc992j;p57p58;2008;5144.3999;992;j
XA;aptinc992j;p57p58;2009;5223.1001;992;j
XA;aptinc992j;p57p58;2010;5511.3999;992;j
XA;aptinc992j;p57p58;2011;5707.6001;992;j
XA;aptinc992j;p57p58;2012;6032.8999;992;j
XA;aptinc992j;p57p58;2013;6079.3999;992;j
XA;aptinc992j;p57p58;2014;6505.5;992;j
XA;aptinc992j;p57p58;2015;6754.2002;992;j
XA;aptinc992j;p57p58;2016;7044.2002;992;j
XA;aptinc992j;p57p100;1980;7564.2998;992;j
XA;aptinc992j;p57p100;1981;7679.2002;992;j
XA;aptinc992j;p57p100;1982;7889.7002;992;j
XA;aptinc992j;p57p100;1983;8186.3999;992;j
XA;aptinc992j;p57p100;1984;8405.5996;992;j
XA;aptinc992j;p57p100;1985;8643.7002;992;j
XA;aptinc992j;p57p100;1986;8748.5;992;j
XA;aptinc992j;p57p100;1987;8763.5996;992;j
XA;aptinc992j;p57p100;1988;9132.2998;992;j
XA;aptinc992j;p57p100;1989;9318.2002;992;j
XA;aptinc992j;p57p100;1990;9396.0;992;j
XA;aptinc992j;p57p100;1991;9762.0;992;j
XA;aptinc992j;p57p100;1992;9971.7998;992;j
XA;aptinc992j;p57p100;1993;10025.5;992;j
XA;aptinc992j;p57p100;1994;10222.6;992;j
XA;aptinc992j;p57p100;1995;10400.1;992;j
XA;aptinc992j;p57p100;1996;10644.6;992;j
XA;aptinc992j;p57p100;1997;10799.6;992;j
XA;aptinc992j;p57p100;1998;10545.8;992;j
XA;aptinc992j;p57p100;1999;10633.1;992;j
XA;aptinc992j;p57p100;2000;11112.7;992;j
XA;aptinc992j;p57p100;2001;11334.5;992;j
XA;aptinc992j;p57p100;2002;11820.0;992;j
XA;aptinc992j;p57p100;2003;12289.9;992;j
XA;aptinc992j;p57p100;2004;12943.2;992;j
XA;aptinc992j;p57p100;2005;13701.7;992;j
XA;aptinc992j;p57p100;2006;14580.5;992;j
XA;aptinc992j;p57p100;2007;15708.2;992;j
XA;aptinc992j;p57p100;2008;16356.7;992;j
XA;aptinc992j;p57p100;2009;16636.5;992;j
XA;aptinc992j;p57p100;2010;17905.1;992;j
XA;aptinc992j;p57p100;2011;18851.1;992;j
XA;aptinc992j;p57p100;2012;19667.199;992;j
XA;aptinc992j;p57p100;2013;20643.9;992;j
XA;aptinc992j;p57p100;2014;21643.9;992;j
XA;aptinc992j;p57p100;2015;22472.301;992;j
XA;aptinc992j;p57p100;2016;23528.699;992;j
XA;aptinc992j;p56p57;1980;2309.5;992;j
XA;aptinc992j;p56p57;1981;2409.3999;992;j
XA;aptinc992j;p56p57;1982;2541.3;992;j
XA;aptinc992j;p56p57;1983;2535.0;992;j
XA;aptinc992j;p56p57;1984;2820.0;992;j
XA;aptinc992j;p56p57;1985;3040.8999;992;j
XA;aptinc992j;p56p57;1986;3150.6001;992;j
XA;aptinc992j;p56p57;1987;3270.3999;992;j
XA;aptinc992j;p56p57;1988;3378.8999;992;j
XA;aptinc992j;p56p57;1989;3353.5;992;j
XA;aptinc992j;p56p57;1990;3332.6001;992;j
XA;aptinc992j;p56p57;1991;3477.5;992;j
XA;aptinc992j;p56p57;1992;3545.3999;992;j
XA;aptinc992j;p56p57;1993;3509.2;992;j
XA;aptinc992j;p56p57;1994;3567.5;992;j
XA;aptinc992j;p56p57;1995;3655.3999;992;j
XA;aptinc992j;p56p57;1996;3779.7;992;j
XA;aptinc992j;p56p57;1997;3818.8;992;j
XA;aptinc992j;p56p57;1998;3780.8;992;j
XA;aptinc992j;p56p57;1999;3840.3999;992;j
XA;aptinc992j;p56p57;2000;3908.1001;992;j
XA;aptinc992j;p56p57;2001;3933.8;992;j
XA;aptinc992j;p56p57;2002;3919.7;992;j
XA;aptinc992j;p56p57;2003;4008.2;992;j
XA;aptinc992j;p56p57;2004;4195.2998;992;j
XA;aptinc992j;p56p57;2005;4333.0;992;j
XA;aptinc992j;p56p57;2006;4579.3999;992;j
XA;aptinc992j;p56p57;2007;4877.6001;992;j
XA;aptinc992j;p56p57;2008;5013.3999;992;j
