country;variable;percentile;year;value;age;pop
XF-MER;aptinc992j;p62p63;1980;1826.2;992;j
XF-MER;aptinc992j;p62p63;1981;1823.3;992;j
XF-MER;aptinc992j;p62p63;1982;1798.7;992;j
XF-MER;aptinc992j;p62p63;1983;1666.2;992;j
XF-MER;aptinc992j;p62p63;1984;1661.7;992;j
XF-MER;aptinc992j;p62p63;1985;1726.2;992;j
XF-MER;aptinc992j;p62p63;1986;1712.7;992;j
XF-MER;aptinc992j;p62p63;1987;1734.7;992;j
XF-MER;aptinc992j;p62p63;1988;1735.0;992;j
XF-MER;aptinc992j;p62p63;1989;1741.9;992;j
XF-MER;aptinc992j;p62p63;1990;1722.2;992;j
XF-MER;aptinc992j;p62p63;1991;1684.8;992;j
XF-MER;aptinc992j;p62p63;1992;1576.1;992;j
XF-MER;aptinc992j;p62p63;1993;1535.7;992;j
XF-MER;aptinc992j;p62p63;1994;1434.2;992;j
XF-MER;aptinc992j;p62p63;1995;1412.9;992;j
XF-MER;aptinc992j;p62p63;1996;1437.3;992;j
XF-MER;aptinc992j;p62p63;1997;1433.6;992;j
XF-MER;aptinc992j;p62p63;1998;1447.9;992;j
XF-MER;aptinc992j;p62p63;1999;1427.1;992;j
XF-MER;aptinc992j;p62p63;2000;1418.8;992;j
XF-MER;aptinc992j;p62p63;2001;1443.5;992;j
XF-MER;aptinc992j;p62p63;2002;1518.2;992;j
XF-MER;aptinc992j;p62p63;2003;1556.0;992;j
XF-MER;aptinc992j;p62p63;2004;1591.4;992;j
XF-MER;aptinc992j;p62p63;2005;1618.8;992;j
XF-MER;aptinc992j;p62p63;2006;1638.7;992;j
XF-MER;aptinc992j;p62p63;2007;1658.3;992;j
XF-MER;aptinc992j;p62p63;2008;1678.5;992;j
XF-MER;aptinc992j;p62p63;2009;1684.6;992;j
XF-MER;aptinc992j;p62p63;2010;1728.4;992;j
XF-MER;aptinc992j;p62p63;2011;1768.3;992;j
XF-MER;aptinc992j;p62p63;2012;1789.8;992;j
XF-MER;aptinc992j;p62p63;2013;1805.4;992;j
XF-MER;aptinc992j;p62p63;2014;1848.3;992;j
XF-MER;aptinc992j;p62p63;2015;1859.5;992;j
XF-MER;aptinc992j;p62p63;2016;1835.6;992;j
XF-MER;aptinc992j;p62p100;1980;7102.6001;992;j
XF-MER;aptinc992j;p62p100;1981;7150.7002;992;j
XF-MER;aptinc992j;p62p100;1982;7021.6001;992;j
XF-MER;aptinc992j;p62p100;1983;6480.0;992;j
XF-MER;aptinc992j;p62p100;1984;6538.3999;992;j
XF-MER;aptinc992j;p62p100;1985;6631.6001;992;j
XF-MER;aptinc992j;p62p100;1986;6488.7998;992;j
XF-MER;aptinc992j;p62p100;1987;6611.7998;992;j
XF-MER;aptinc992j;p62p100;1988;6612.8999;992;j
XF-MER;aptinc992j;p62p100;1989;6562.1001;992;j
XF-MER;aptinc992j;p62p100;1990;6423.3999;992;j
XF-MER;aptinc992j;p62p100;1991;6293.7002;992;j
XF-MER;aptinc992j;p62p100;1992;5851.2002;992;j
XF-MER;aptinc992j;p62p100;1993;5657.3999;992;j
XF-MER;aptinc992j;p62p100;1994;5247.3999;992;j
XF-MER;aptinc992j;p62p100;1995;5239.6001;992;j
XF-MER;aptinc992j;p62p100;1996;5318.5;992;j
