country;variable;percentile;year;value;age;pop
XF;tptinc992j;p99.995p99.996;1980;184370.828125;992;j
XF;tptinc992j;p99.995p99.996;1981;194751.0625;992;j
XF;tptinc992j;p99.995p99.996;1982;203612.4375;992;j
XF;tptinc992j;p99.995p99.996;1983;179907.21875;992;j
XF;tptinc992j;p99.995p99.996;1984;183608.09375;992;j
XF;tptinc992j;p99.995p99.996;1985;161548.640625;992;j
XF;tptinc992j;p99.995p99.996;1986;151009.546875;992;j
XF;tptinc992j;p99.995p99.996;1987;143158.09375;992;j
XF;tptinc992j;p99.995p99.996;1988;144821.875;992;j
XF;tptinc992j;p99.995p99.996;1989;157543.40625;992;j
XF;tptinc992j;p99.995p99.996;1990;159427.890625;992;j
XF;tptinc992j;p99.995p99.996;1991;148567.65625;992;j
XF;tptinc992j;p99.995p99.996;1992;145009.328125;992;j
XF;tptinc992j;p99.995p99.996;1993;142320.703125;992;j
XF;tptinc992j;p99.995p99.996;1994;136436.359375;992;j
XF;tptinc992j;p99.995p99.996;1995;163882.796875;992;j
XF;tptinc992j;p99.995p99.996;1996;179262.984375;992;j
XF;tptinc992j;p99.995p99.996;1997;197752.296875;992;j
XF;tptinc992j;p99.995p99.996;1998;204418.109375;992;j
XF;tptinc992j;p99.995p99.996;1999;213138.59375;992;j
XF;tptinc992j;p99.995p99.996;2000;227048.671875;992;j
XF;tptinc992j;p99.995p99.996;2001;236588.359375;992;j
XF;tptinc992j;p99.995p99.996;2002;249896.671875;992;j
XF;tptinc992j;p99.995p99.996;2003;255254.390625;992;j
XF;tptinc992j;p99.995p99.996;2004;265657.625;992;j
XF;tptinc992j;p99.995p99.996;2005;291943.0625;992;j
XF;tptinc992j;p99.995p99.996;2006;318762.71875;992;j
XF;tptinc992j;p99.995p99.996;2007;353101.5;992;j
XF;tptinc992j;p99.995p99.996;2008;346066.59375;992;j
XF;tptinc992j;p99.995p99.996;2009;321888.03125;992;j
XF;tptinc992j;p99.995p99.996;2010;337659.125;992;j
XF;tptinc992j;p99.995p99.996;2011;345772.625;992;j
XF;tptinc992j;p99.995p99.996;2012;360128.6875;992;j
XF;tptinc992j;p99.995p99.996;2013;363323.375;992;j
XF;tptinc992j;p99.995p99.996;2014;363522.40625;992;j
XF;tptinc992j;p99.995p99.996;2015;360072.21875;992;j
XF;tptinc992j;p99.995p99.996;2016;360908.34375;992;j
XF;tptinc992j;p99.995p100;1980;184370.828125;992;j
XF;tptinc992j;p99.995p100;1981;194751.0625;992;j
XF;tptinc992j;p99.995p100;1982;203612.4375;992;j
XF;tptinc992j;p99.995p100;1983;179907.21875;992;j
XF;tptinc992j;p99.995p100;1984;183608.09375;992;j
XF;tptinc992j;p99.995p100;1985;161548.640625;992;j
XF;tptinc992j;p99.995p100;1986;151009.546875;992;j
