country;variable;percentile;year;value;age;pop
XI;anninc999i;p0p100;1998;40773.602;999;i
XI;anninc999i;p0p100;1999;42167.102;999;i
XI;anninc999i;p0p100;2000;44709.699;999;i
XI;anninc999i;p0p100;2001;43690.801;999;i
XI;anninc999i;p0p100;2002;42726.102;999;i
XI;anninc999i;p0p100;2003;41000.898;999;i
XI;anninc999i;p0p100;2004;40901.5;999;i
XI;anninc999i;p0p100;2005;41195.102;999;i
XI;anninc999i;p0p100;2006;43018.199;999;i
XI;anninc999i;p0p100;2007;45306.801;999;i
XI;anninc992i;p0p100;1998;53948.699;992;i
XI;anninc992i;p0p100;1999;55803.801;992;i
XI;anninc992i;p0p100;2000;59109.199;992;i
XI;anninc992i;p0p100;2001;57775.801;992;i
XI;anninc992i;p0p100;2002;56465.398;992;i
XI;anninc992i;p0p100;2003;54105.0;992;i
XI;anninc992i;p0p100;2004;53846.102;992;i
XI;anninc992i;p0p100;2005;54069.102;992;i
XI;anninc992i;p0p100;2006;56510.102;992;i
XI;anninc992i;p0p100;2007;59504.602;992;i
XI;andpro999i;p0p100;1998;40773.602;999;i
XI;andpro999i;p0p100;1999;42167.102;999;i
XI;andpro999i;p0p100;2000;44709.699;999;i
XI;andpro999i;p0p100;2001;43690.801;999;i
XI;andpro999i;p0p100;2002;42726.102;999;i
XI;andpro999i;p0p100;2003;41000.898;999;i
XI;andpro999i;p0p100;2004;40901.5;999;i
XI;andpro999i;p0p100;2005;41195.102;999;i
XI;andpro999i;p0p100;2006;43018.199;999;i
XI;andpro999i;p0p100;2007;45306.801;999;i
XI;andpro992i;p0p100;1998;53948.699;992;i
XI;andpro992i;p0p100;1999;55803.801;992;i
XI;andpro992i;p0p100;2000;59109.199;992;i
XI;andpro992i;p0p100;2001;57775.801;992;i
XI;andpro992i;p0p100;2002;56465.398;992;i
XI;andpro992i;p0p100;2003;54105.0;992;i
XI;andpro992i;p0p100;2004;53846.102;992;i
XI;andpro992i;p0p100;2005;54069.102;992;i
XI;andpro992i;p0p100;2006;56510.102;992;i
XI;andpro992i;p0p100;2007;59504.602;992;i
XI;agdpro999i;p0p100;1998;48498.199;999;i
XI;agdpro999i;p0p100;1999;49966.102;999;i
XI;agdpro999i;p0p100;2000;52561.199;999;i
XI;agdpro999i;p0p100;2001;51538.801;999;i
XI;agdpro999i;p0p100;2002;50528.5;999;i
XI;agdpro999i;p0p100;2003;48756.699;999;i
XI;agdpro999i;p0p100;2004;48655.898;999;i
XI;agdpro999i;p0p100;2005;49013.398;999;i
XI;agdpro999i;p0p100;2006;50959.5;999;i
XI;agdpro999i;p0p100;2007;53397.199;999;i
XI;agdpro992i;p0p100;1998;64169.199;992;i
XI;agdpro992i;p0p100;1999;66125.102;992;i
XI;agdpro992i;p0p100;2000;69489.398;992;i
XI;agdpro992i;p0p100;2001;68153.898;992;i
XI;agdpro992i;p0p100;2002;66776.797;992;i
XI;agdpro992i;p0p100;2003;64339.5;992;i
XI;agdpro992i;p0p100;2004;64054.5;992;i
XI;agdpro992i;p0p100;2005;64330.801;992;i
XI;agdpro992i;p0p100;2006;66942.102;992;i
XI;agdpro992i;p0p100;2007;70130.102;992;i
XI;aconfc999i;p0p100;1998;7724.5;999;i
XI;aconfc999i;p0p100;1999;7799.0;999;i
XI;aconfc999i;p0p100;2000;7851.5;999;i
XI;aconfc999i;p0p100;2001;7848.0;999;i
XI;aconfc999i;p0p100;2002;7802.3999;999;i
XI;aconfc999i;p0p100;2003;7755.7998;999;i
XI;aconfc999i;p0p100;2004;7754.2998;999;i
XI;aconfc999i;p0p100;2005;7818.3999;999;i
XI;aconfc999i;p0p100;2006;7941.2998;999;i
XI;aconfc999i;p0p100;2007;8090.2998;999;i
XI;aconfc992i;p0p100;1998;10220.6;992;i
XI;aconfc992i;p0p100;1999;10321.2;992;i
XI;aconfc992i;p0p100;2000;10380.2;992;i
XI;aconfc992i;p0p100;2001;10378.1;992;i
XI;aconfc992i;p0p100;2002;10311.4;992;i
XI;aconfc992i;p0p100;2003;10234.5;992;i
XI;aconfc992i;p0p100;2004;10208.4;992;i
XI;aconfc992i;p0p100;2005;10261.7;992;i
XI;aconfc992i;p0p100;2006;10432.0;992;i
XI;aconfc992i;p0p100;2007;10625.6;992;i
XI;xlcyux999i;p0p100;2018;0.1129001;999;i
XI;xlcyup999i;p0p100;1998;0.21851927;999;i
XI;xlcyup999i;p0p100;1999;0.22449735;999;i
XI;xlcyup999i;p0p100;2000;0.21845825;999;i
XI;xlcyup999i;p0p100;2001;0.22169997;999;i
XI;xlcyup999i;p0p100;2002;0.23129705;999;i
XI;xlcyup999i;p0p100;2003;0.23331383;999;i
XI;xlcyup999i;p0p100;2004;0.22710937;999;i
XI;xlcyup999i;p0p100;2005;0.22331576;999;i
XI;xlcyup999i;p0p100;2006;0.22306913;999;i
XI;xlcyup999i;p0p100;2007;0.21439211;999;i
XI;xlcyup999i;p0p100;2008;0.20550638;999;i
XI;xlcyup999i;p0p100;2009;0.21544331;999;i
XI;xlcyup999i;p0p100;2010;0.20823875;999;i
XI;xlcyup999i;p0p100;2011;0.19911365;999;i
XI;xlcyup999i;p0p100;2012;0.20272234;999;i
XI;xlcyup999i;p0p100;2013;0.20551227;999;i
XI;xlcyup999i;p0p100;2014;0.21139197;999;i
XI;xlcyup999i;p0p100;2015;0.21978119;999;i
XI;xlcyup999i;p0p100;2016;0.22850332;999;i
XI;xlcyup999i;p0p100;2017;0.2375716;999;i
XI;xlcyup999i;p0p100;2018;0.24699979;999;i
XI;xlcusx999i;p0p100;2018;0.72065026;999;i
XI;xlcusp999i;p0p100;1998;0.59065157;999;i
XI;xlcusp999i;p0p100;1999;0.60419142;999;i
XI;xlcusp999i;p0p100;2000;0.61325568;999;i
XI;xlcusp999i;p0p100;2001;0.61797887;999;i
XI;xlcusp999i;p0p100;2002;0.63380122;999;i
XI;xlcusp999i;p0p100;2003;0.64712214;999;i
XI;xlcusp999i;p0p100;2004;0.65341693;999;i
XI;xlcusp999i;p0p100;2005;0.64995253;999;i
XI;xlcusp999i;p0p100;2006;0.65192652;999;i
XI;xlcusp999i;p0p100;2007;0.65568489;999;i
XI;xlcusp999i;p0p100;2008;0.66414124;999;i
XI;xlcusp999i;p0p100;2009;0.67848212;999;i
XI;xlcusp999i;p0p100;2010;0.69007063;999;i
XI;xlcusp999i;p0p100;2011;0.69800007;999;i
XI;xlcusp999i;p0p100;2012;0.70781308;999;i
XI;xlcusp999i;p0p100;2013;0.71971786;999;i
XI;xlcusp999i;p0p100;2014;0.7311067;999;i
XI;xlcusp999i;p0p100;2015;0.74723053;999;i
XI;xlcusp999i;p0p100;2016;0.76380813;999;i
XI;xlcusp999i;p0p100;2017;0.77456844;999;i
XI;xlcusp999i;p0p100;2018;0.78275692;999;i
XI;xlceux999i;p0p100;2018;0.8833915;999;i
XI;xlceup999i;p0p100;1998;0.71487677;999;i
XI;xlceup999i;p0p100;1999;0.730959;999;i
XI;xlceup999i;p0p100;2000;0.74877799;999;i
XI;xlceup999i;p0p100;2001;0.75502348;999;i
XI;xlceup999i;p0p100;2002;0.76913202;999;i
XI;xlceup999i;p0p100;2003;0.78528309;999;i
XI;xlceup999i;p0p100;2004;0.79980415;999;i
XI;xlceup999i;p0p100;2005;0.80441099;999;i
XI;xlceup999i;p0p100;2006;0.81477195;999;i
XI;xlceup999i;p0p100;2007;0.82176042;999;i
XI;xlceup999i;p0p100;2008;0.83208662;999;i
XI;xlceup999i;p0p100;2009;0.85163915;999;i
XI;xlceup999i;p0p100;2010;0.87428731;999;i
XI;xlceup999i;p0p100;2011;0.89442581;999;i
XI;xlceup999i;p0p100;2012;0.91251397;999;i
XI;xlceup999i;p0p100;2013;0.93151635;999;i
XI;xlceup999i;p0p100;2014;0.95391709;999;i
XI;xlceup999i;p0p100;2015;0.97207934;999;i
XI;xlceup999i;p0p100;2016;0.99570161;999;i
XI;xlceup999i;p0p100;2017;1.0181657;999;i
XI;xlceup999i;p0p100;2018;1.0378398;999;i
XI;npopul999m;p0p100;1950;49082.0;999;m
XI;npopul999m;p0p100;1951;49490.0;999;m
XI;npopul999m;p0p100;1952;49869.0;999;m
XI;npopul999m;p0p100;1953;50223.0;999;m
XI;npopul999m;p0p100;1954;50569.0;999;m
XI;npopul999m;p0p100;1955;50924.0;999;m
XI;npopul999m;p0p100;1956;51280.0;999;m
XI;npopul999m;p0p100;1957;51657.0;999;m
XI;npopul999m;p0p100;1958;52057.0;999;m
XI;npopul999m;p0p100;1959;52491.0;999;m
XI;npopul999m;p0p100;1960;52960.0;999;m
XI;npopul999m;p0p100;1961;53464.0;999;m
XI;npopul999m;p0p100;1962;54012.0;999;m
XI;npopul999m;p0p100;1963;54590.0;999;m
XI;npopul999m;p0p100;1964;55194.0;999;m
XI;npopul999m;p0p100;1965;55814.0;999;m
XI;npopul999m;p0p100;1966;56455.0;999;m
XI;npopul999m;p0p100;1967;57091.0;999;m
XI;npopul999m;p0p100;1968;57737.0;999;m
XI;npopul999m;p0p100;1969;58369.0;999;m
XI;npopul999m;p0p100;1970;58984.0;999;m
XI;npopul999m;p0p100;1971;59575.0;999;m
XI;npopul999m;p0p100;1972;60159.0;999;m
XI;npopul999m;p0p100;1973;60680.0;999;m
XI;npopul999m;p0p100;1974;61122.0;999;m
XI;npopul999m;p0p100;1975;61449.0;999;m
XI;npopul999m;p0p100;1976;61636.0;999;m
XI;npopul999m;p0p100;1977;61707.0;999;m
XI;npopul999m;p0p100;1978;61754.0;999;m
XI;npopul999m;p0p100;1979;61857.0;999;m
XI;npopul999m;p0p100;1980;62086.0;999;m
XI;npopul999m;p0p100;1981;62487.0;999;m
XI;npopul999m;p0p100;1982;63007.0;999;m
XI;npopul999m;p0p100;1983;63635.0;999;m
XI;npopul999m;p0p100;1984;64322.0;999;m
XI;npopul999m;p0p100;1985;65028.0;999;m
XI;npopul999m;p0p100;1986;65759.0;999;m
XI;npopul999m;p0p100;1987;66520.0;999;m
XI;npopul999m;p0p100;1988;67257.0;999;m
XI;npopul999m;p0p100;1989;67896.0;999;m
XI;npopul999m;p0p100;1990;68400.0;999;m
XI;npopul999m;p0p100;1991;68740.0;999;m
XI;npopul999m;p0p100;1992;68936.0;999;m
XI;npopul999m;p0p100;1993;69064.0;999;m
XI;npopul999m;p0p100;1994;69237.0;999;m
XI;npopul999m;p0p100;1995;69521.0;999;m
XI;npopul999m;p0p100;1996;69965.0;999;m
XI;npopul999m;p0p100;1997;70529.0;999;m
XI;npopul999m;p0p100;1998;71162.0;999;m
XI;npopul999m;p0p100;1999;71774.0;999;m
XI;npopul999m;p0p100;2000;72297.0;999;m
XI;npopul999m;p0p100;2001;72704.0;999;m
XI;npopul999m;p0p100;2002;73036.0;999;m
XI;npopul999m;p0p100;2003;73355.0;999;m
XI;npopul999m;p0p100;2004;73766.0;999;m
XI;npopul999m;p0p100;2005;74320.0;999;m
XI;npopul999m;p0p100;2006;75061.0;999;m
XI;npopul999m;p0p100;2007;75953.0;999;m
XI;npopul999m;p0p100;2008;76923.0;999;m
XI;npopul999m;p0p100;2009;77860.0;999;m
XI;npopul999m;p0p100;2010;78682.0;999;m
XI;npopul999m;p0p100;2011;79367.0;999;m
XI;npopul999m;p0p100;2012;79947.0;999;m
XI;npopul999m;p0p100;2013;80479.0;999;m
XI;npopul999m;p0p100;2014;81045.0;999;m
XI;npopul999m;p0p100;2015;81716.0;999;m
XI;npopul999m;p0p100;2016;82514.0;999;m
XI;npopul999m;p0p100;2017;83410.0;999;m
XI;npopul999m;p0p100;2018;84346.0;999;m
XI;npopul999i;p0p100;1950;102234.0;999;i
XI;npopul999i;p0p100;1951;102967.0;999;i
XI;npopul999i;p0p100;1952;103661.0;999;i
XI;npopul999i;p0p100;1953;104323.0;999;i
XI;npopul999i;p0p100;1954;104972.0;999;i
XI;npopul999i;p0p100;1955;105609.0;999;i
XI;npopul999i;p0p100;1956;106268.0;999;i
XI;npopul999i;p0p100;1957;106968.0;999;i
XI;npopul999i;p0p100;1958;107711.0;999;i
XI;npopul999i;p0p100;1959;108525.0;999;i
XI;npopul999i;p0p100;1960;109420.0;999;i
XI;npopul999i;p0p100;1961;110399.0;999;i
XI;npopul999i;p0p100;1962;111457.0;999;i
XI;npopul999i;p0p100;1963;112595.0;999;i
XI;npopul999i;p0p100;1964;113773.0;999;i
XI;npopul999i;p0p100;1965;114995.0;999;i
XI;npopul999i;p0p100;1966;116227.0;999;i
XI;npopul999i;p0p100;1967;117474.0;999;i
XI;npopul999i;p0p100;1968;118726.0;999;i
XI;npopul999i;p0p100;1969;119972.0;999;i
XI;npopul999i;p0p100;1970;121197.0;999;i
XI;npopul999i;p0p100;1971;122413.0;999;i
XI;npopul999i;p0p100;1972;123614.0;999;i
XI;npopul999i;p0p100;1973;124725.0;999;i
XI;npopul999i;p0p100;1974;125682.0;999;i
XI;npopul999i;p0p100;1975;126415.0;999;i
XI;npopul999i;p0p100;1976;126902.0;999;i
XI;npopul999i;p0p100;1977;127183.0;999;i
XI;npopul999i;p0p100;1978;127390.0;999;i
XI;npopul999i;p0p100;1979;127692.0;999;i
XI;npopul999i;p0p100;1980;128212.0;999;i
XI;npopul999i;p0p100;1981;128982.0;999;i
XI;npopul999i;p0p100;1982;129979.0;999;i
XI;npopul999i;p0p100;1983;131149.0;999;i
XI;npopul999i;p0p100;1984;132446.0;999;i
XI;npopul999i;p0p100;1985;133808.0;999;i
XI;npopul999i;p0p100;1986;135249.0;999;i
XI;npopul999i;p0p100;1987;136762.0;999;i
XI;npopul999i;p0p100;1988;138245.0;999;i
XI;npopul999i;p0p100;1989;139573.0;999;i
XI;npopul999i;p0p100;1990;140671.0;999;i
XI;npopul999i;p0p100;1991;141467.0;999;i
XI;npopul999i;p0p100;1992;142006.0;999;i
XI;npopul999i;p0p100;1993;142415.0;999;i
