country;variable;percentile;year;value;age;pop
XL-MER;anninc999i;p0p100;1980;4554.2002;999;i
XL-MER;anninc999i;p0p100;1981;4417.3999;999;i
XL-MER;anninc999i;p0p100;1982;4225.5;999;i
XL-MER;anninc999i;p0p100;1983;4016.3999;999;i
XL-MER;anninc999i;p0p100;1984;4100.0;999;i
XL-MER;anninc999i;p0p100;1985;4178.2998;999;i
XL-MER;anninc999i;p0p100;1986;4291.3999;999;i
XL-MER;anninc999i;p0p100;1987;4395.0;999;i
XL-MER;anninc999i;p0p100;1988;4325.0;999;i
XL-MER;anninc999i;p0p100;1989;4328.1001;999;i
XL-MER;anninc999i;p0p100;1990;4247.2998;999;i
XL-MER;anninc999i;p0p100;1991;4333.8999;999;i
XL-MER;anninc999i;p0p100;1992;4385.7002;999;i
XL-MER;anninc999i;p0p100;1993;4578.0;999;i
XL-MER;anninc999i;p0p100;1994;4772.3999;999;i
XL-MER;anninc999i;p0p100;1995;4694.8999;999;i
XL-MER;anninc999i;p0p100;1996;4769.0;999;i
XL-MER;anninc999i;p0p100;1997;4955.6001;999;i
XL-MER;anninc999i;p0p100;1998;4985.5;999;i
XL-MER;anninc999i;p0p100;1999;4923.3999;999;i
XL-MER;anninc999i;p0p100;2000;5045.7998;999;i
XL-MER;anninc999i;p0p100;2001;4976.6001;999;i
XL-MER;anninc999i;p0p100;2002;4892.3999;999;i
XL-MER;anninc999i;p0p100;2003;4881.7998;999;i
XL-MER;anninc999i;p0p100;2004;5083.2998;999;i
XL-MER;anninc999i;p0p100;2005;5252.0;999;i
XL-MER;anninc999i;p0p100;2006;5447.1001;999;i
XL-MER;anninc999i;p0p100;2007;5691.3999;999;i
XL-MER;anninc999i;p0p100;2008;5876.7002;999;i
XL-MER;anninc999i;p0p100;2009;5655.8999;999;i
XL-MER;anninc999i;p0p100;2010;5968.0;999;i
XL-MER;anninc999i;p0p100;2011;6214.6001;999;i
XL-MER;anninc999i;p0p100;2012;6321.7002;999;i
XL-MER;anninc999i;p0p100;2013;6497.8999;999;i
XL-MER;anninc999i;p0p100;2014;6499.8999;999;i
XL-MER;anninc999i;p0p100;2015;6441.3999;999;i
XL-MER;anninc999i;p0p100;2016;6337.6001;999;i
XL-MER;anninc999i;p0p100;2017;6394.3999;999;i
XL-MER;anninc999i;p0p100;2018;6419.0;999;i
XL-MER;anninc992i;p0p100;1980;9216.2002;992;i
XL-MER;anninc992i;p0p100;1981;8884.5996;992;i
XL-MER;anninc992i;p0p100;1982;8439.4004;992;i
XL-MER;anninc992i;p0p100;1983;7962.1001;992;i
XL-MER;anninc992i;p0p100;1984;8067.2998;992;i
XL-MER;anninc992i;p0p100;1985;8160.8999;992;i
XL-MER;anninc992i;p0p100;1986;8326.9004;992;i
XL-MER;anninc992i;p0p100;1987;8471.7002;992;i
XL-MER;anninc992i;p0p100;1988;8280.2998;992;i
XL-MER;anninc992i;p0p100;1989;8227.7998;992;i
XL-MER;anninc992i;p0p100;1990;7960.2998;992;i
XL-MER;anninc992i;p0p100;1991;8065.7998;992;i
XL-MER;anninc992i;p0p100;1992;8106.2998;992;i
XL-MER;anninc992i;p0p100;1993;8404.0;992;i
