country;variable;percentile;year;value;age;pop
XL;anninc999i;p0p100;1980;7794.5;999;i
XL;anninc999i;p0p100;1981;7648.8999;999;i
XL;anninc999i;p0p100;1982;7334.3999;999;i
XL;anninc999i;p0p100;1983;6936.2002;999;i
XL;anninc999i;p0p100;1984;7048.8999;999;i
XL;anninc999i;p0p100;1985;7174.2998;999;i
XL;anninc999i;p0p100;1986;7323.2998;999;i
XL;anninc999i;p0p100;1987;7488.0;999;i
XL;anninc999i;p0p100;1988;7414.6001;999;i
XL;anninc999i;p0p100;1989;7369.7998;999;i
XL;anninc999i;p0p100;1990;7300.7002;999;i
XL;anninc999i;p0p100;1991;7458.2002;999;i
XL;anninc999i;p0p100;1992;7526.7998;999;i
XL;anninc999i;p0p100;1993;7830.7002;999;i
XL;anninc999i;p0p100;1994;8113.1001;999;i
XL;anninc999i;p0p100;1995;7977.8999;999;i
XL;anninc999i;p0p100;1996;8087.5;999;i
XL;anninc999i;p0p100;1997;8417.0;999;i
XL;anninc999i;p0p100;1998;8458.2998;999;i
XL;anninc999i;p0p100;1999;8357.7998;999;i
XL;anninc999i;p0p100;2000;8577.2998;999;i
XL;anninc999i;p0p100;2001;8484.0;999;i
XL;anninc999i;p0p100;2002;8317.9004;999;i
XL;anninc999i;p0p100;2003;8225.9004;999;i
XL;anninc999i;p0p100;2004;8610.2998;999;i
XL;anninc999i;p0p100;2005;8929.7002;999;i
XL;anninc999i;p0p100;2006;9306.2002;999;i
XL;anninc999i;p0p100;2007;9727.0;999;i
XL;anninc999i;p0p100;2008;10036.6;999;i
XL;anninc999i;p0p100;2009;9643.7002;999;i
XL;anninc999i;p0p100;2010;10105.1;999;i
XL;anninc999i;p0p100;2011;10485.0;999;i
XL;anninc999i;p0p100;2012;10702.6;999;i
XL;anninc999i;p0p100;2013;10973.0;999;i
XL;anninc999i;p0p100;2014;10984.1;999;i
XL;anninc999i;p0p100;2015;10871.1;999;i
XL;anninc999i;p0p100;2016;10644.1;999;i
XL;anninc999i;p0p100;2017;10666.4;999;i
XL;anninc999i;p0p100;2018;10545.3;999;i
XL;anninc992i;p0p100;1980;15773.4;992;i
XL;anninc992i;p0p100;1981;15384.2;992;i
XL;anninc992i;p0p100;1982;14648.7;992;i
XL;anninc992i;p0p100;1983;13750.5;992;i
XL;anninc992i;p0p100;1984;13869.4;992;i
XL;anninc992i;p0p100;1985;14012.5;992;i
XL;anninc992i;p0p100;1986;14209.7;992;i
XL;anninc992i;p0p100;1987;14433.6;992;i
XL;anninc992i;p0p100;1988;14195.4;992;i
XL;anninc992i;p0p100;1989;14010.2;992;i
XL;anninc992i;p0p100;1990;13683.0;992;i
XL;anninc992i;p0p100;1991;13880.3;992;i
XL;anninc992i;p0p100;1992;13912.2;992;i
XL;anninc992i;p0p100;1993;14375.0;992;i
XL;anninc992i;p0p100;1994;14787.6;992;i
XL;anninc992i;p0p100;1995;14432.2;992;i
XL;anninc992i;p0p100;1996;14524.8;992;i
XL;anninc992i;p0p100;1997;15002.5;992;i
XL;anninc992i;p0p100;1998;14957.3;992;i
XL;anninc992i;p0p100;1999;14658.8;992;i
