country;variable;percentile;year;value;age;pop
XN-MER;anninc999i;p0p100;1980;5096.5;999;i
XN-MER;anninc999i;p0p100;1981;4918.3999;999;i
XN-MER;anninc999i;p0p100;1982;4535.7998;999;i
XN-MER;anninc999i;p0p100;1983;4345.0;999;i
XN-MER;anninc999i;p0p100;1984;4299.6001;999;i
XN-MER;anninc999i;p0p100;1985;4236.5;999;i
XN-MER;anninc999i;p0p100;1986;4334.5;999;i
XN-MER;anninc999i;p0p100;1987;4268.7002;999;i
XN-MER;anninc999i;p0p100;1988;4354.8999;999;i
XN-MER;anninc999i;p0p100;1989;4349.7002;999;i
XN-MER;anninc999i;p0p100;1990;4240.7998;999;i
XN-MER;anninc999i;p0p100;1991;4234.7998;999;i
XN-MER;anninc999i;p0p100;1992;4308.1001;999;i
XN-MER;anninc999i;p0p100;1993;4322.8999;999;i
XN-MER;anninc999i;p0p100;1994;4261.2998;999;i
XN-MER;anninc999i;p0p100;1995;4336.0;999;i
XN-MER;anninc999i;p0p100;1996;4451.7998;999;i
XN-MER;anninc999i;p0p100;1997;4592.1001;999;i
XN-MER;anninc999i;p0p100;1998;4704.6001;999;i
XN-MER;anninc999i;p0p100;1999;4613.0;999;i
XN-MER;anninc999i;p0p100;2000;4759.3999;999;i
XN-MER;anninc999i;p0p100;2001;4655.3999;999;i
XN-MER;anninc999i;p0p100;2002;4629.2998;999;i
XN-MER;anninc999i;p0p100;2003;4799.2002;999;i
XN-MER;anninc999i;p0p100;2004;5136.1001;999;i
XN-MER;anninc999i;p0p100;2005;5404.7002;999;i
XN-MER;anninc999i;p0p100;2006;5698.5;999;i
XN-MER;anninc999i;p0p100;2007;5895.1001;999;i
XN-MER;anninc999i;p0p100;2008;6078.8999;999;i
XN-MER;anninc999i;p0p100;2009;5868.2002;999;i
XN-MER;anninc999i;p0p100;2010;6043.1001;999;i
XN-MER;anninc999i;p0p100;2011;5942.7998;999;i
XN-MER;anninc999i;p0p100;2012;6346.8999;999;i
XN-MER;anninc999i;p0p100;2013;6308.5;999;i
XN-MER;anninc999i;p0p100;2014;6270.6001;999;i
XN-MER;anninc999i;p0p100;2015;6310.2002;999;i
XN-MER;anninc999i;p0p100;2016;6357.3999;999;i
