country;variable;percentile;year;value;age;pop
XR-MER;anninc999i;p0p100;1980;5259.1001;999;i
XR-MER;anninc999i;p0p100;1981;5291.2998;999;i
XR-MER;anninc999i;p0p100;1982;5334.5;999;i
XR-MER;anninc999i;p0p100;1983;5401.7998;999;i
XR-MER;anninc999i;p0p100;1984;5404.6001;999;i
XR-MER;anninc999i;p0p100;1985;5459.1001;999;i
XR-MER;anninc999i;p0p100;1986;5522.6001;999;i
XR-MER;anninc999i;p0p100;1987;5447.7998;999;i
XR-MER;anninc999i;p0p100;1988;5591.5;999;i
XR-MER;anninc999i;p0p100;1989;5662.6001;999;i
XR-MER;anninc999i;p0p100;1990;5510.7998;999;i
XR-MER;anninc999i;p0p100;1991;5702.1001;999;i
XR-MER;anninc999i;p0p100;1992;4675.0;999;i
XR-MER;anninc999i;p0p100;1993;4154.6001;999;i
XR-MER;anninc999i;p0p100;1994;3413.2;999;i
XR-MER;anninc999i;p0p100;1995;2917.2;999;i
XR-MER;anninc999i;p0p100;1996;3177.8999;999;i
XR-MER;anninc999i;p0p100;1997;3242.6001;999;i
XR-MER;anninc999i;p0p100;1998;3053.8999;999;i
XR-MER;anninc999i;p0p100;1999;3419.3999;999;i
XR-MER;anninc999i;p0p100;2000;3844.0;999;i
XR-MER;anninc999i;p0p100;2001;4136.0;999;i
XR-MER;anninc999i;p0p100;2002;4361.1001;999;i
XR-MER;anninc999i;p0p100;2003;4659.0;999;i
XR-MER;anninc999i;p0p100;2004;5163.3999;999;i
XR-MER;anninc999i;p0p100;2005;5516.2002;999;i
XR-MER;anninc999i;p0p100;2006;6016.6001;999;i
XR-MER;anninc999i;p0p100;2007;6614.6001;999;i
XR-MER;anninc999i;p0p100;2008;6923.2002;999;i
XR-MER;anninc999i;p0p100;2009;6243.7002;999;i
XR-MER;anninc999i;p0p100;2010;6560.8999;999;i
XR-MER;anninc999i;p0p100;2011;7056.0;999;i
XR-MER;anninc999i;p0p100;2012;7264.5;999;i
XR-MER;anninc999i;p0p100;2013;7240.6001;999;i
XR-MER;anninc999i;p0p100;2014;7240.0;999;i
XR-MER;anninc999i;p0p100;2015;6978.7002;999;i
XR-MER;anninc999i;p0p100;2016;6742.1001;999;i
