country;variable;percentile;year;value;age;pop
YE;anninc999i;p0p100;1950;273632.09;999;i
YE;anninc999i;p0p100;1951;277443.91;999;i
YE;anninc999i;p0p100;1952;281115.59;999;i
YE;anninc999i;p0p100;1953;284961.91;999;i
YE;anninc999i;p0p100;1954;288593.41;999;i
YE;anninc999i;p0p100;1955;292309.91;999;i
YE;anninc999i;p0p100;1956;296098.91;999;i
YE;anninc999i;p0p100;1957;299956.5;999;i
YE;anninc999i;p0p100;1958;303724.31;999;i
YE;anninc999i;p0p100;1959;307497.69;999;i
YE;anninc999i;p0p100;1960;311376.31;999;i
YE;anninc999i;p0p100;1961;314984.09;999;i
YE;anninc999i;p0p100;1962;318808.69;999;i
YE;anninc999i;p0p100;1963;323453.69;999;i
YE;anninc999i;p0p100;1964;326783.81;999;i
YE;anninc999i;p0p100;1965;330951.0;999;i
YE;anninc999i;p0p100;1966;335215.81;999;i
YE;anninc999i;p0p100;1967;339330.31;999;i
YE;anninc999i;p0p100;1968;342311.91;999;i
YE;anninc999i;p0p100;1969;345768.59;999;i
YE;anninc999i;p0p100;1970;410275.0;999;i
YE;anninc999i;p0p100;1971;474656.81;999;i
YE;anninc999i;p0p100;1972;502916.5;999;i
YE;anninc999i;p0p100;1973;554558.38;999;i
YE;anninc999i;p0p100;1974;573222.13;999;i
YE;anninc999i;p0p100;1975;601028.0;999;i
YE;anninc999i;p0p100;1976;677466.13;999;i
YE;anninc999i;p0p100;1977;729794.31;999;i
YE;anninc999i;p0p100;1978;766148.81;999;i
YE;anninc999i;p0p100;1979;780871.81;999;i
YE;anninc999i;p0p100;1980;755943.81;999;i
YE;anninc999i;p0p100;1981;774217.63;999;i
YE;anninc999i;p0p100;1982;757611.19;999;i
YE;anninc999i;p0p100;1983;772244.38;999;i
YE;anninc999i;p0p100;1984;772376.31;999;i
YE;anninc999i;p0p100;1985;735603.31;999;i
YE;anninc999i;p0p100;1986;722975.13;999;i
YE;anninc999i;p0p100;1987;724032.19;999;i
YE;anninc999i;p0p100;1988;725030.81;999;i
YE;anninc999i;p0p100;1989;717530.0;999;i
YE;anninc999i;p0p100;1990;822633.38;999;i
YE;anninc999i;p0p100;1991;781260.19;999;i
YE;anninc999i;p0p100;1992;776084.31;999;i
YE;anninc999i;p0p100;1993;765773.13;999;i
YE;anninc999i;p0p100;1994;745252.19;999;i
YE;anninc999i;p0p100;1995;841933.0;999;i
YE;anninc999i;p0p100;1996;977372.63;999;i
YE;anninc999i;p0p100;1997;990507.88;999;i
YE;anninc999i;p0p100;1998;979394.38;999;i
YE;anninc999i;p0p100;1999;1004745.3;999;i
YE;anninc999i;p0p100;2000;1081274.9;999;i
YE;anninc999i;p0p100;2001;1114139.8;999;i
YE;anninc999i;p0p100;2002;1137926.8;999;i
YE;anninc999i;p0p100;2003;1167667.0;999;i
YE;anninc999i;p0p100;2004;1166486.1;999;i
YE;anninc999i;p0p100;2005;1205426.0;999;i
YE;anninc999i;p0p100;2006;1248182.1;999;i
YE;anninc999i;p0p100;2007;1254452.1;999;i
YE;anninc999i;p0p100;2008;1257566.1;999;i
YE;anninc999i;p0p100;2009;1294517.5;999;i
YE;anninc999i;p0p100;2010;1289680.6;999;i
YE;anninc999i;p0p100;2011;1075813.5;999;i
YE;anninc999i;p0p100;2012;1078771.6;999;i
YE;anninc999i;p0p100;2013;1089370.6;999;i
YE;anninc999i;p0p100;2014;948058.19;999;i
YE;anninc999i;p0p100;2015;655166.63;999;i
YE;anninc999i;p0p100;2016;543753.0;999;i
YE;anninc999i;p0p100;2017;502083.59;999;i
YE;anninc999i;p0p100;2018;479663.5;999;i
YE;anninc992i;p0p100;1950;574398.38;992;i
YE;anninc992i;p0p100;1951;584373.19;992;i
YE;anninc992i;p0p100;1952;591775.88;992;i
YE;anninc992i;p0p100;1953;598975.88;992;i
YE;anninc992i;p0p100;1954;605824.81;992;i
YE;anninc992i;p0p100;1955;612833.88;992;i
YE;anninc992i;p0p100;1956;621905.63;992;i
YE;anninc992i;p0p100;1957;631611.38;992;i
YE;anninc992i;p0p100;1958;640923.31;992;i
YE;anninc992i;p0p100;1959;649385.81;992;i
YE;anninc992i;p0p100;1960;656973.69;992;i
YE;anninc992i;p0p100;1961;668500.31;992;i
YE;anninc992i;p0p100;1962;678774.5;992;i
YE;anninc992i;p0p100;1963;689601.5;992;i
YE;anninc992i;p0p100;1964;697220.88;992;i
YE;anninc992i;p0p100;1965;706622.31;992;i
YE;anninc992i;p0p100;1966;719998.5;992;i
YE;anninc992i;p0p100;1967;733147.81;992;i
YE;anninc992i;p0p100;1968;744328.63;992;i
YE;anninc992i;p0p100;1969;757269.19;992;i
YE;anninc992i;p0p100;1970;905934.31;992;i
YE;anninc992i;p0p100;1971;1063606.8;992;i
YE;anninc992i;p0p100;1972;1144334.1;992;i
YE;anninc992i;p0p100;1973;1282048.3;992;i
YE;anninc992i;p0p100;1974;1346804.6;992;i
YE;anninc992i;p0p100;1975;1435132.1;992;i
YE;anninc992i;p0p100;1976;1635573.6;992;i
YE;anninc992i;p0p100;1977;1778089.6;992;i
YE;anninc992i;p0p100;1978;1881435.8;992;i
YE;anninc992i;p0p100;1979;1931686.5;992;i
YE;anninc992i;p0p100;1980;1883497.8;992;i
YE;anninc992i;p0p100;1981;1945065.6;992;i
YE;anninc992i;p0p100;1982;1918584.8;992;i
YE;anninc992i;p0p100;1983;1970227.0;992;i
YE;anninc992i;p0p100;1984;1983361.0;992;i
YE;anninc992i;p0p100;1985;1899096.5;992;i
YE;anninc992i;p0p100;1986;1880341.4;992;i
YE;anninc992i;p0p100;1987;1893732.8;992;i
YE;anninc992i;p0p100;1988;1904699.0;992;i
YE;anninc992i;p0p100;1989;1892187.0;992;i
YE;anninc992i;p0p100;1990;2177017.3;992;i
YE;anninc992i;p0p100;1991;2046370.5;992;i
YE;anninc992i;p0p100;1992;2016053.0;992;i
YE;anninc992i;p0p100;1993;1975476.1;992;i
YE;anninc992i;p0p100;1994;1909091.3;992;i
YE;anninc992i;p0p100;1995;2138985.5;992;i
YE;anninc992i;p0p100;1996;2493355.5;992;i
YE;anninc992i;p0p100;1997;2526428.5;992;i
YE;anninc992i;p0p100;1998;2489669.3;992;i
YE;anninc992i;p0p100;1999;2541441.0;992;i
YE;anninc992i;p0p100;2000;2719244.3;992;i
YE;anninc992i;p0p100;2001;2778174.5;992;i
YE;anninc992i;p0p100;2002;2815154.5;992;i
YE;anninc992i;p0p100;2003;2864737.0;992;i
YE;anninc992i;p0p100;2004;2833038.5;992;i
YE;anninc992i;p0p100;2005;2891975.3;992;i
YE;anninc992i;p0p100;2006;2960564.0;992;i
YE;anninc992i;p0p100;2007;2936093.0;992;i
YE;anninc992i;p0p100;2008;2900581.3;992;i
YE;anninc992i;p0p100;2009;2940737.3;992;i
