country;variable;percentile;year;value;age;pop
ZA;sptinc992j;p86p100;1990;0.5432;992;j
ZA;sptinc992j;p86p100;1991;0.5632;992;j
ZA;sptinc992j;p86p100;1992;0.5592;992;j
ZA;sptinc992j;p86p100;1993;0.5349;992;j
ZA;sptinc992j;p86p100;1994;0.5444;992;j
ZA;sptinc992j;p86p100;1995;0.554;992;j
ZA;sptinc992j;p86p100;1996;0.5636;992;j
ZA;sptinc992j;p86p100;1997;0.5743;992;j
ZA;sptinc992j;p86p100;1998;0.5851;992;j
ZA;sptinc992j;p86p100;1999;0.5958;992;j
ZA;sptinc992j;p86p100;2000;0.6065;992;j
ZA;sptinc992j;p86p100;2001;0.6161;992;j
ZA;sptinc992j;p86p100;2002;0.6256;992;j
ZA;sptinc992j;p86p100;2003;0.6359;992;j
ZA;sptinc992j;p86p100;2004;0.6362;992;j
ZA;sptinc992j;p86p100;2005;0.6512;992;j
ZA;sptinc992j;p86p100;2006;0.6627;992;j
ZA;sptinc992j;p86p100;2007;0.6835;992;j
ZA;sptinc992j;p86p100;2008;0.665;992;j
ZA;sptinc992j;p86p100;2009;0.6578;992;j
ZA;sptinc992j;p86p100;2010;0.6805;992;j
ZA;sptinc992j;p86p100;2011;0.6909;992;j
ZA;sptinc992j;p86p100;2012;0.7222;992;j
ZA;sptinc992j;p86p100;2013;0.722;992;j
ZA;sptinc992j;p86p100;2014;0.7218;992;j
ZA;sptinc992j;p86p100;2015;0.7218;992;j
ZA;sptinc992j;p86p100;2016;0.7218;992;j
ZA;sptinc992j;p86p100;2017;0.7218;992;j
ZA;sptinc992j;p77p100;1990;0.6638;992;j
ZA;sptinc992j;p77p100;1991;0.6818;992;j
ZA;sptinc992j;p77p100;1992;0.6782;992;j
ZA;sptinc992j;p77p100;1993;0.6564;992;j
ZA;sptinc992j;p77p100;1994;0.6644;992;j
ZA;sptinc992j;p77p100;1995;0.6724;992;j
ZA;sptinc992j;p77p100;1996;0.6803;992;j
ZA;sptinc992j;p77p100;1997;0.6905;992;j
ZA;sptinc992j;p77p100;1998;0.7006;992;j
ZA;sptinc992j;p77p100;1999;0.7107;992;j
ZA;sptinc992j;p77p100;2000;0.7209;992;j
ZA;sptinc992j;p77p100;2001;0.7265;992;j
ZA;sptinc992j;p77p100;2002;0.7321;992;j
ZA;sptinc992j;p77p100;2003;0.7383;992;j
ZA;sptinc992j;p77p100;2004;0.7357;992;j
ZA;sptinc992j;p77p100;2005;0.7462;992;j
ZA;sptinc992j;p77p100;2006;0.7582;992;j
ZA;sptinc992j;p77p100;2007;0.7785;992;j
ZA;sptinc992j;p77p100;2008;0.7637;992;j
ZA;sptinc992j;p77p100;2009;0.758;992;j
ZA;sptinc992j;p77p100;2010;0.779;992;j
ZA;sptinc992j;p77p100;2011;0.7886;992;j
ZA;sptinc992j;p77p100;2012;0.817;992;j
ZA;sptinc992j;p77p100;2013;0.8171;992;j
ZA;sptinc992j;p77p100;2014;0.8172;992;j
ZA;sptinc992j;p77p100;2015;0.8172;992;j
ZA;sptinc992j;p77p100;2016;0.8172;992;j
ZA;sptinc992j;p77p100;2017;0.8172;992;j
ZA;sptinc992j;p66p100;1990;0.7545;992;j
ZA;sptinc992j;p66p100;1991;0.7698;992;j
ZA;sptinc992j;p66p100;1992;0.7668;992;j
ZA;sptinc992j;p66p100;1993;0.7481;992;j
ZA;sptinc992j;p66p100;1994;0.755;992;j
ZA;sptinc992j;p66p100;1995;0.7619;992;j
ZA;sptinc992j;p66p100;1996;0.7688;992;j
ZA;sptinc992j;p66p100;1997;0.7781;992;j
ZA;sptinc992j;p66p100;1998;0.7873;992;j
ZA;sptinc992j;p66p100;1999;0.7966;992;j
ZA;sptinc992j;p66p100;2000;0.8059;992;j
ZA;sptinc992j;p66p100;2001;0.8079;992;j
ZA;sptinc992j;p66p100;2002;0.8099;992;j
ZA;sptinc992j;p66p100;2003;0.8125;992;j
ZA;sptinc992j;p66p100;2004;0.8075;992;j
ZA;sptinc992j;p66p100;2005;0.8136;992;j
ZA;sptinc992j;p66p100;2006;0.8258;992;j
ZA;sptinc992j;p66p100;2007;0.8451;992;j
ZA;sptinc992j;p66p100;2008;0.8342;992;j
ZA;sptinc992j;p66p100;2009;0.8297;992;j
ZA;sptinc992j;p66p100;2010;0.8481;992;j
ZA;sptinc992j;p66p100;2011;0.8568;992;j
ZA;sptinc992j;p66p100;2012;0.8816;992;j
ZA;sptinc992j;p66p100;2013;0.8821;992;j
