country;variable;percentile;year;value;age;pop
ZW;tptinc992j;p9p100;1990;273.4875488281;992;j
ZW;tptinc992j;p9p100;1991;282.2437744141;992;j
ZW;tptinc992j;p9p100;1992;258.4592895508;992;j
ZW;tptinc992j;p9p100;1993;264.3054199219;992;j
ZW;tptinc992j;p9p100;1994;280.0938415527;992;j
ZW;tptinc992j;p9p100;1995;279.8418884277;992;j
ZW;tptinc992j;p9p100;1996;308.3762207031;992;j
ZW;tptinc992j;p9p100;1997;312.6898498535;992;j
ZW;tptinc992j;p9p100;1998;316.0241088867;992;j
ZW;tptinc992j;p9p100;1999;305.8717346191;992;j
ZW;tptinc992j;p9p100;2000;280.7541503906;992;j
ZW;tptinc992j;p9p100;2001;284.4966125488;992;j
ZW;tptinc992j;p9p100;2002;270.4200134277;992;j
ZW;tptinc992j;p9p100;2003;252.2922515869;992;j
ZW;tptinc992j;p9p100;2004;245.6248168945;992;j
ZW;tptinc992j;p9p100;2005;238.1323394775;992;j
ZW;tptinc992j;p9p100;2006;229.1020050049;992;j
ZW;tptinc992j;p9p100;2007;220.2959899902;992;j
ZW;tptinc992j;p9p100;2008;206.6216583252;992;j
ZW;tptinc992j;p9p100;2009;355.1701965332;992;j
ZW;tptinc992j;p9p100;2010;394.6100158691;992;j
ZW;tptinc992j;p9p100;2011;451.5949707031;992;j
ZW;tptinc992j;p9p100;2012;511.2206115723;992;j
ZW;tptinc992j;p9p100;2013;525.5950927734;992;j
ZW;tptinc992j;p9p100;2014;524.8271484375;992;j
ZW;tptinc992j;p9p100;2015;524.0611572266;992;j
ZW;tptinc992j;p9p100;2016;517.6188354492;992;j
ZW;tptinc992j;p9p100;2017;525.4744873047;992;j
ZW;tptinc992j;p9p10;1990;273.4875488281;992;j
ZW;tptinc992j;p9p10;1991;282.2437744141;992;j
ZW;tptinc992j;p9p10;1992;258.4592895508;992;j
ZW;tptinc992j;p9p10;1993;264.3054199219;992;j
ZW;tptinc992j;p9p10;1994;280.0938415527;992;j
ZW;tptinc992j;p9p10;1995;279.8418884277;992;j
ZW;tptinc992j;p9p10;1996;308.3762207031;992;j
