country;variable;percentile;year;value;age;pop
ZZ;xlcyux999i;p0p100;2018;349.1870317736;999;i
ZZ;xlcyup999i;p0p100;1952;1.9874868393;999;i
ZZ;xlcyup999i;p0p100;1953;1.830349803;999;i
ZZ;xlcyup999i;p0p100;1954;2.0070543289;999;i
ZZ;xlcyup999i;p0p100;1955;1.8976744413;999;i
ZZ;xlcyup999i;p0p100;1956;1.8117958307;999;i
ZZ;xlcyup999i;p0p100;1957;2.008869648;999;i
ZZ;xlcyup999i;p0p100;1958;1.8969651461;999;i
ZZ;xlcyup999i;p0p100;1959;1.7997251749;999;i
ZZ;xlcyup999i;p0p100;1960;1.7046227455;999;i
ZZ;xlcyup999i;p0p100;1961;1.3826799393;999;i
ZZ;xlcyup999i;p0p100;1962;1.5741518736;999;i
ZZ;xlcyup999i;p0p100;1963;1.6384714842;999;i
ZZ;xlcyup999i;p0p100;1964;1.5941636562;999;i
ZZ;xlcyup999i;p0p100;1965;1.6760874987;999;i
ZZ;xlcyup999i;p0p100;1966;1.8240911961;999;i
ZZ;xlcyup999i;p0p100;1967;1.9922838211;999;i
ZZ;xlcyup999i;p0p100;1968;2.2798550129;999;i
ZZ;xlcyup999i;p0p100;1969;2.6637969017;999;i
ZZ;xlcyup999i;p0p100;1970;2.7005927563;999;i
ZZ;xlcyup999i;p0p100;1971;2.686478138;999;i
ZZ;xlcyup999i;p0p100;1972;2.8582940102;999;i
ZZ;xlcyup999i;p0p100;1973;3.1916787624;999;i
ZZ;xlcyup999i;p0p100;1974;3.7702946663;999;i
ZZ;xlcyup999i;p0p100;1975;4.1809754372;999;i
ZZ;xlcyup999i;p0p100;1976;4.6467313766;999;i
ZZ;xlcyup999i;p0p100;1977;5.4013094902;999;i
ZZ;xlcyup999i;p0p100;1978;5.8075079918;999;i
ZZ;xlcyup999i;p0p100;1979;6.0471110344;999;i
ZZ;xlcyup999i;p0p100;1980;6.4078011513;999;i
ZZ;xlcyup999i;p0p100;1981;7.4030456543;999;i
ZZ;xlcyup999i;p0p100;1982;8.6074438095;999;i
ZZ;xlcyup999i;p0p100;1983;10.5616950989;999;i
ZZ;xlcyup999i;p0p100;1984;13.0473537445;999;i
ZZ;xlcyup999i;p0p100;1985;15.3571596146;999;i
ZZ;xlcyup999i;p0p100;1986;18.8829936981;999;i
ZZ;xlcyup999i;p0p100;1987;23.1627101898;999;i
ZZ;xlcyup999i;p0p100;1988;34.6709365845;999;i
ZZ;xlcyup999i;p0p100;1989;43.3825263977;999;i
ZZ;xlcyup999i;p0p100;1990;47.6593513489;999;i
ZZ;xlcyup999i;p0p100;1991;55.2159500122;999;i
ZZ;xlcyup999i;p0p100;1992;64.209022522;999;i
ZZ;xlcyup999i;p0p100;1993;63.0295028687;999;i
ZZ;xlcyup999i;p0p100;1994;60.6056900024;999;i
ZZ;xlcyup999i;p0p100;1995;67.2444839478;999;i
ZZ;xlcyup999i;p0p100;1996;68.4477844238;999;i
ZZ;xlcyup999i;p0p100;1997;74.3077011108;999;i
ZZ;xlcyup999i;p0p100;1998;79.5579910278;999;i
ZZ;xlcyup999i;p0p100;1999;81.3442306519;999;i
ZZ;xlcyup999i;p0p100;2000;84.4496765137;999;i
ZZ;xlcyup999i;p0p100;2001;88.6049880981;999;i
ZZ;xlcyup999i;p0p100;2002;93.8943862915;999;i
ZZ;xlcyup999i;p0p100;2003;95.9695053101;999;i
ZZ;xlcyup999i;p0p100;2004;101.4906692505;999;i
ZZ;xlcyup999i;p0p100;2005;106.4750442505;999;i
ZZ;xlcyup999i;p0p100;2006;125.5154418945;999;i
ZZ;xlcyup999i;p0p100;2007;126.2680053711;999;i
ZZ;xlcyup999i;p0p100;2008;130.2136688232;999;i
ZZ;xlcyup999i;p0p100;2009;137.2191314697;999;i
ZZ;xlcyup999i;p0p100;2010;137.6819763184;999;i
ZZ;xlcyup999i;p0p100;2011;149.0451660156;999;i
ZZ;xlcyup999i;p0p100;2012;163.0936431885;999;i
ZZ;xlcyup999i;p0p100;2013;176.3392944336;999;i
ZZ;xlcyup999i;p0p100;2014;189.427520752;999;i
ZZ;xlcyup999i;p0p100;2015;193.6121673584;999;i
ZZ;xlcyup999i;p0p100;2016;207.5800476074;999;i
ZZ;xlcyup999i;p0p100;2017;229.1733551025;999;i
ZZ;xlcyup999i;p0p100;2018;239.798538208;999;i
ZZ;xlcusx999i;p0p100;2018;2228.8884277344;999;i
ZZ;xlcusp999i;p0p100;1921;2.1464095116;999;i
ZZ;xlcusp999i;p0p100;1922;1.4451436996;999;i
ZZ;xlcusp999i;p0p100;1923;1.2079597712;999;i
ZZ;xlcusp999i;p0p100;1924;1.38527143;999;i
ZZ;xlcusp999i;p0p100;1925;1.573395133;999;i
ZZ;xlcusp999i;p0p100;1926;1.5529776812;999;i
ZZ;xlcusp999i;p0p100;1927;1.4938851595;999;i
ZZ;xlcusp999i;p0p100;1928;1.5088708401;999;i
ZZ;xlcusp999i;p0p100;1929;1.5790812969;999;i
ZZ;xlcusp999i;p0p100;1930;1.4590970278;999;i
ZZ;xlcusp999i;p0p100;1931;1.211312294;999;i
