Source file, # digit not in Benford distribution 95%, # digit not in Benford distribution 99%
WID_data_QJ.csv,4,4
WID_data_MG.csv,6,6
WID_data_BY.csv,8,7
WID_data_NE.csv,3,3
WID_data_US-WV.csv,8,5
WID_data_ID.csv,5,3
WID_data_TO.csv,8,6
WID_data_XR.csv,9,9
WID_data_US-MI.csv,5,5
WID_data_US-MT.csv,6,4
WID_data_RS.csv,9,9
WID_data_NP.csv,3,3
WID_data_GH.csv,6,5
WID_data_US-FL.csv,5,5
WID_data_FJ.csv,5,4
WID_data_QU.csv,2,2
WID_data_JM.csv,5,4
WID_data_MR.csv,5,4
WID_data_TD.csv,6,6
WID_data_BG.csv,9,9
WID_data_PA.csv,6,3
WID_data_AI.csv,3,1
WID_data_LT.csv,8,8
WID_data_CW.csv,7,7
WID_data_PW.csv,7,6
WID_data_US-AK.csv,6,4
WID_data_TZ.csv,7,4
WID_data_EH.csv,6,3
WID_data_BR.csv,6,5
WID_data_AE.csv,4,3
WID_data_QC.csv,6,6
WID_data_US-AR.csv,8,6
WID_data_RO.csv,8,7
WID_data_NL.csv,8,7
WID_data_KR.csv,7,7
WID_data_CN-UR.csv,7,7
WID_data_SX.csv,2,2
WID_data_PH.csv,3,3
WID_data_ES.csv,9,8
WID_data_TK.csv,6,3
WID_data_US-VT.csv,6,5
WID_data_AW.csv,5,5
WID_data_MY.csv,3,0
WID_data_XN.csv,6,5
WID_data_CL.csv,7,6
WID_data_US-NV.csv,4,2
WID_data_GL.csv,1,1
WID_data_RW.csv,5,5
WID_data_CI.csv,5,5
WID_data_XR-MER.csv,9,9
WID_data_AL.csv,6,4
WID_data_HT.csv,4,3
WID_data_VG.csv,6,4
WID_data_MU.csv,7,5
WID_data_IR.csv,6,6
WID_data_NA.csv,8,8
WID_data_GA.csv,9,9
WID_data_WF.csv,8,4
WID_data_KZ.csv,6,4
WID_data_DE-BD.csv,5,3
WID_data_LB.csv,6,6
WID_data_US-SD.csv,4,4
WID_data_QQ.csv,6,3
WID_data_QM.csv,9,9
WID_data_MN.csv,3,1
WID_data_PS.csv,7,7
WID_data_SN.csv,5,5
WID_data_US-NY.csv,6,5
WID_data_VN.csv,4,4
WID_data_TV.csv,6,6
